         h          k          l       FREE         FP      SIGFP         FC       PHIC     FC_ALL   PHIC_ALL        FWT       PHWT     DELFWT    PHDELWT        FOM  FC_ALL_LS PHIC_ALL_LS
       -39          1          8          1      41.33      10.04      58.61       0.19      48.16       0.19      30.44       0.19      17.72       3.33       0.95      58.61       0.19
       -39          1          9          1      26.56      11.24      21.56       0.54      17.70       0.54      20.57       0.54       2.87       0.54       0.72      21.55       0.54
       -39          1         10          1      16.79       7.63      16.81       6.21      13.78       6.21       6.12       6.21       7.67       3.07       0.59      16.80       6.21
       -39          1         11          1      21.50       9.87       9.64       5.83       7.90       5.83       8.77       5.83       0.87       5.83       0.39       9.65       5.83
       -39          1         12          1      46.02      10.75      46.21       3.82      37.74       3.82      48.13       3.82      10.40       3.82       0.93      46.21       3.82
       -39          1         13          1      27.95      11.43      14.58       3.99      11.78       3.99      20.45       3.99       8.66       3.99       0.58      14.59       3.99
       -39          1         14          0      44.35      12.37      49.06       0.20      39.13       0.20      39.13       0.20       0.00       0.00       0.00      49.06       0.20
       -39          1         15          1      19.94       9.25      17.50       3.40      13.86       3.40      11.14       3.40       2.72       0.26       0.63      17.51       3.40
       -39          1         16          1      39.29      12.78      71.11       3.47      56.05       3.47      18.10       3.47      37.94       0.32       0.94      71.11       3.47
       -39          1         17          1      42.82      13.95      24.71       2.66      19.17       2.66      50.28       2.66      31.11       2.66       0.81      24.72       2.66
       -39          1         18          1      31.39      11.92      35.52       0.38      27.00       0.38      26.75       0.38       0.25       3.52       0.86      35.53       0.38
       -39          1         19          0      20.97       9.33      24.44       3.54      18.38       3.54      18.38       3.54       0.00       0.00       0.00      24.43       3.54
       -39          2          1          1      29.05       9.03      22.72       2.78      18.53       2.78      27.77       2.78       9.24       2.78       0.80      22.72       2.78
       -39          2          2          1      20.42       9.41      25.00       1.37      20.47       1.37       8.96       1.37      11.51       4.51       0.72      25.00       1.37
       -39          2          3          1      21.29       8.60      23.27       0.28      19.08       0.28      12.65       0.28       6.43       3.42       0.75      23.28       0.28
       -39          2          4          1      35.24      10.10      26.22       5.18      21.52       5.18      38.85       5.18      17.33       5.18       0.86      26.22       5.18
       -39          2          5          1      28.53      10.33      23.76       5.78      19.51       5.78      25.70       5.78       6.18       5.78       0.79      23.77       5.78
       -39          2          6          1      13.09       6.44      18.21       4.06      14.96       4.05       0.41       4.05      14.55       0.91       0.59      18.22       4.06
       -39          2          7          1      26.50       8.95      16.45       2.78      13.51       2.78      24.07       2.78      10.57       2.78       0.71      16.45       2.78
       -39          2          8          1      29.53       9.03      33.16       1.14      27.21       1.14      24.89       1.14       2.33       4.29       0.88      33.16       1.14
       -39          2          9          1      24.71       9.16      30.18       3.93      24.76       3.93      16.43       3.93       8.32       0.78       0.83      30.18       3.93
       -39          2         10          1      25.01      11.29       4.64       4.12       3.80       4.13       6.30       4.13       2.49       4.13       0.20       4.64       4.13
       -39          2         11          1      49.55      11.92      15.24       0.06      12.47       0.06      62.82       0.06      50.35       0.06       0.76      15.24       0.06
       -39          2         12          1      22.06       9.52       9.62       5.43       7.80       5.43      10.01       5.43       2.21       5.43       0.40       9.62       5.43
       -39          2         13          0      17.07       8.18      10.22       3.85       8.20       3.85       8.20       3.85       0.00       0.00       0.00      10.22       3.85
       -39          2         14          1      40.09      12.78      45.61       4.06      36.18       4.06      36.71       4.06       0.53       4.06       0.91      45.61       4.06
       -39          2         15          1      18.66       8.84      23.16       3.29      18.29       3.29       8.57       3.29       9.72       0.15       0.72      23.15       3.29
       -39          2         16          1      21.91      10.01      40.27       1.53      31.64       1.53       6.11       1.53      25.53       4.67       0.86      40.27       1.53
       -39          2         17          1      22.65      10.08      22.04       0.64      16.97       0.64      15.58       0.64       1.39       3.78       0.72      22.04       0.64
       -39          2         18          1      21.81       9.71      12.49       4.89       9.46       4.89      12.85       4.89       3.39       4.89       0.51      12.49       4.89
       -39          2         19          1      17.75       8.57      22.40       2.82      16.80       2.82       8.22       2.82       8.58       5.97       0.70      22.40       2.82
       -39          3          1          1      15.79       7.71      10.64       3.23       8.59       3.23       3.75       3.23       4.84       0.09       0.39      10.65       3.23
       -39          3          2          1      20.10       8.82      25.96       3.50      21.11       3.50       8.71       3.50      12.39       0.36       0.74      25.95       3.50
       -39          3          3          1      18.93       8.15      15.01       4.53      12.28       4.53       8.46       4.53       3.82       1.39       0.55      15.01       4.53
       -39          3          4          1      26.68       9.03      10.55       5.45       8.64       5.45      19.23       5.45      10.59       5.45       0.52      10.55       5.45
       -39          3          5          1      62.13       9.09      50.38       0.68      41.28       0.68      78.39       0.68      37.12       0.68       0.96      50.37       0.68
       -39          3          6          1      17.08       7.43      11.91       2.62       9.77       2.62       6.22       2.62       3.54       5.76       0.47      11.92       2.62
       -39          3          7          1      41.86       8.36      61.52       4.41      50.42       4.41      29.81       4.41      20.60       1.27       0.96      61.52       4.41
       -39          3          8          1      28.28       9.42      20.48       5.15      16.77       5.15      26.24       5.15       9.47       5.15       0.76      20.47       5.15
       -39          3          9          1      39.81       7.72      50.47       2.31      41.31       2.31      34.14       2.31       7.18       5.45       0.95      50.47       2.31
       -39          3         10          1      49.79      10.57      46.38       1.86      37.85       1.86      55.72       1.86      17.88       1.86       0.94      46.38       1.86
       -39          3         11          1      33.24      12.51      26.35       4.92      21.35       4.92      31.04       4.92       9.69       4.92       0.79      26.36       4.92
       -39          3         12          0      24.18       9.61      32.94       5.55      26.44       5.55      26.44       5.55       0.00       0.00       0.00      32.94       5.55
       -39          3         13          1      27.11      10.64      48.68       1.72      38.65       1.72      10.04       1.72      28.61       4.87       0.90      48.69       1.72
       -39          3         14          1      48.90      18.25      42.87       2.74      33.91       2.74      50.50       2.74      16.59       2.74       0.86      42.87       2.74
       -39          3         15          1      20.51       9.39      23.13       5.19      18.23       5.19      12.00       5.19       6.23       2.05       0.74      23.14       5.19
       -39          3         16          1      39.50      13.42      50.48       5.92      39.19       5.92      32.90       5.92       6.29       2.78       0.91      50.48       5.92
       -39          3         17          1      21.35       9.74      31.48       5.54      23.95       5.54      10.36       5.54      13.60       2.39       0.80      31.49       5.54
       -39          3         18          1      28.45      11.35      15.19       2.87      11.44       2.87      23.76       2.87      12.32       2.87       0.62      15.18       2.87
       -39          3         19          1      23.79      10.28      39.47       3.39      29.44       3.39      11.64       3.39      17.80       0.25       0.86      39.47       3.39
       -39          4          1          1      31.51      10.27      15.64       5.19      12.43       5.19      31.70       5.19      19.27       5.19       0.70      15.64       5.19
       -39          4          2          1      27.26      11.83      30.70       4.32      24.60       4.32      18.95       4.32       5.65       1.18       0.80      30.70       4.32
       -39          4          3          1      21.93       8.66      13.97       0.14      11.27       0.14      13.92       0.14       2.65       0.14       0.57      13.97       0.14
       -39          4          4          0      25.01      10.34      23.60       2.52      19.12       2.52      19.12       2.52       0.00       0.00       0.00      23.60       2.52
       -39          4          5          1      13.84       6.60      16.15       4.60      13.12       4.60       1.22       4.60      11.90       1.46       0.52      16.14       4.60
       -39          4          6          1      18.53       8.74      15.59       4.92      12.69       4.92       7.25       4.92       5.44       1.78       0.54      15.59       4.92
       -39          4          7          1      17.45       7.74      29.46       3.90      23.98       3.90       2.79       3.90      21.19       0.75       0.77      29.47       3.90
