         h          k          l       FREE         FP      SIGFP         FC       PHIC     FC_ALL   PHIC_ALL        FWT       PHWT     DELFWT    PHDELWT        FOM  FC_ALL_LS PHIC_ALL_LS
       -39          5         15          1     161.14      19.82     190.88       0.05     142.28       0.05     171.73       0.05      29.45       0.05       0.97     191.55       0.05
       -39          5         16          0      71.83      21.77      54.32       2.90      40.39       2.90      40.39       2.90       0.00       0.00       0.00      53.62       2.91
       -39          5         17          1      70.36      21.33      82.90       1.05      61.35       1.05      56.85       1.05       4.50       4.19       0.84      84.24       1.05
       -39          5         18          1      76.47      22.61      22.59       2.40      16.60       2.40      49.80       2.40      33.20       2.40       0.43      22.02       2.41
       -39          5         19          1      60.11      19.40     106.05       0.12      77.21       0.12      25.94       0.12      51.27       3.26       0.86     106.43       0.12
       -39          5         20          1      50.59      17.56      40.65       4.09      29.25       4.09      24.87       4.09       4.38       0.95       0.53      41.06       4.06
       -39          5         21          1      73.29      21.99      23.51       2.26      16.68       2.26      42.92       2.26      26.24       2.26       0.41      22.97       2.25
       -39          5         22          1     122.09      24.52     144.97       2.36     101.15       2.36     127.39       2.36      26.24       2.36       0.94     144.91       2.37
       -39          5         23          1      76.32      21.45      90.02       2.92      61.61       2.92      64.92       2.92       3.31       2.92       0.83      89.19       2.93
       -39          6          7          1     103.73      17.95      83.21       4.23      56.24       4.23     125.84       4.23      69.60       4.23       0.88      83.69       4.24
       -39          6          8          1      78.67      20.50      98.21       0.70      67.49       0.70      67.37       0.70       0.12       3.84       0.86      97.76       0.70
       -39          6          9          1     117.33      15.88     105.15       3.17      73.29       3.17     144.59       3.17      71.30       3.17       0.93     105.11       3.18
       -39          6         10          1      94.03      18.27      42.59       5.45      30.03       5.45     109.00       5.45      78.98       5.45       0.74      41.81       5.46
       -39          6         11          1      53.62      16.81      63.66       4.41      45.30       4.41      31.03       4.41      14.27       1.27       0.71      63.57       4.42
       -39          6         12          1      74.35      19.39     104.06       2.51      74.55       2.51      56.22       2.51      18.33       5.65       0.88     103.76       2.51
       -39          6         13          1      92.34      20.97      82.01       3.09      59.01       3.09     101.87       3.09      42.86       3.09       0.87      82.34       3.09
       -39          6         14          1      64.13      20.19      16.63       4.99      11.99       4.99      25.52       4.99      13.53       4.99       0.29      16.58       5.01
       -39          6         15          1      79.48      22.47      89.12       1.21      64.25       1.21      71.52       1.21       7.27       1.21       0.85      89.31       1.21
       -39          6         16          1     115.78      22.88     100.57       4.65      72.32       4.65     139.19       4.65      66.87       4.65       0.91     100.08       4.65
       -39          6         17          1      66.14      20.05      28.76       1.64      20.58       1.64      41.79       1.64      21.20       1.64       0.47      28.90       1.64
       -39          6         18          1      68.43      21.32      71.39       4.50      50.72       4.50      55.30       4.50       4.58       4.50       0.77      71.99       4.51
       -39          6         19          1      65.57      20.36      16.32       1.37      11.49       1.37      24.44       1.37      12.95       1.37       0.27      17.45       1.35
       -39          6         20          0      62.69      19.57      53.07       2.26      36.90       2.26      36.90       2.26       0.00       0.00       0.00      53.50       2.27
       -39          6         21          1      68.66      21.21      20.88       4.09      14.30       4.09      30.59       4.09      16.28       4.09       0.33      20.88       4.08
       -39          7         10          1      60.39      18.52      65.11       5.29      44.05       5.29      39.90       5.29       4.15       2.15       0.70      65.06       5.29
       -39          7         11          1      76.63      19.91     103.04       3.07      70.36       3.07      61.53       3.07       8.83       6.21       0.86     103.58       3.07
       -39          7         12          1      49.67      16.28      41.96       4.41      28.85       4.41      21.13       4.41       7.72       1.27       0.50      41.27       4.43
       -39          7         13          1      56.39      17.51      31.51       3.80      21.76       3.80      27.64       3.80       5.87       3.80       0.44      30.95       3.78
       -39          7         14          1      63.66      19.08      46.86       3.01      32.44       3.01      45.82       3.01      13.38       3.01       0.61      46.32       3.00
       -39          7         15          1      63.52      19.82      45.05       3.32      31.18       3.32      43.92       3.32      12.74       3.32       0.59      44.98       3.33
       -39          7         16          1      50.31      17.34      71.34       0.66      49.25       0.66      20.60       0.66      28.65       3.81       0.69      72.04       0.68
       -39          7         17          1      56.62      18.93      10.43       2.22       7.16       2.22      10.01       2.22       2.85       2.22       0.15      10.12       2.19
       -39          7         18          1      81.29      21.56      89.40       4.66      60.95       4.66      75.16       4.66      14.22       4.66       0.84      89.30       4.66
       -39          7         19          1      71.96      21.12      50.12       3.26      33.84       3.26      57.93       3.26      24.09       3.26       0.64      51.22       3.26
       -38          0          1          1      38.31      26.74      51.28       0.00      40.48       6.28       8.20       6.28      32.28       3.14       0.64      50.29       6.28
       -38          0          2          1     154.88      19.93     105.40       3.14      83.52       3.14     226.23       3.14     142.71       3.14       1.00     104.66       3.14
       -38          0          3          1      79.90      38.48      77.19       0.00      61.39       6.28      85.93       6.28      24.54       6.28       0.92      75.82       6.28
       -38          0          4          1      44.80      29.70      54.45       3.14      43.45       3.14      13.92       3.14      29.53       0.00       0.64      53.87       3.14
       -38          0          5          1      51.65      30.60      33.45       3.14      26.95       3.14      23.12       3.14       3.83       0.00       0.48      34.80       3.14
       -38          0          6          1      53.76      31.50      27.23       3.14      22.14       3.14      22.57       3.14       0.43       3.14       0.42      28.52       3.14
       -38          0          7          1      62.00      33.73      65.28       3.14      53.50       3.14      48.69       3.14       4.81       0.00       0.82      65.70       3.14
       -38          0          8          1      42.27      28.01      56.69       3.14      46.78       3.14       9.16       3.14      37.62       0.00       0.66      57.35       3.14
       -38          0          9          1      83.10      36.07     136.24       0.00     113.07       6.28      52.51       6.28      60.56       3.14       1.00     134.88       6.28
       -38          0         10          1      57.67      33.67      77.01       3.14      64.22       3.14      35.34       3.14      28.87       0.00       0.86      78.67       3.14
       -38          0         11          1     199.23      17.55     171.39       0.00     143.45       6.28     255.02       6.28     111.58       6.28       1.00     170.33       6.28
       -38          0         12          1      67.56      36.38      15.26       0.00      12.80       6.28      24.89       6.28      12.09       6.28       0.28      14.22       6.28
       -38          0         13          1      66.08      36.49     103.21       0.00      86.73       6.28      39.63       6.28      47.10       3.14       0.96     103.21       6.28
       -38          0         14          1      50.60      33.56      11.67       0.00       9.81       6.28       7.87       6.28       1.94       3.14       0.17      10.11       6.28
       -38          0         15          1      37.22      27.07      40.10       3.14      33.70       3.14       1.76       3.14      31.94       0.00       0.48      39.41       3.14
       -38          0         16          1     118.48      41.76      46.58       3.14      39.09       3.14     167.88       3.14     128.79       3.14       0.87      47.25       3.14
       -38          0         17          1      60.46      36.79      85.76       0.00      71.79       6.28      35.79       6.28      36.00       3.14       0.89      85.62       6.28
       -38          0         18          1      60.50      37.43      17.92       3.14      14.95       3.14      19.35       3.14       4.40       3.14       0.28      19.20       3.14
       -38          0         19          1     109.93      47.68     125.45       0.00     104.15       6.28     114.33       6.28      10.18       6.28       0.99     122.44       6.28
       -38          0         20          1      51.12      33.91      53.98       3.14      44.56       3.14      23.29       3.14      21.27       0.00       0.66      53.26       3.14
       -38          0         21          1      71.69      40.08      13.51       0.00      11.08       6.28      22.73       6.28      11.65       6.28       0.24      13.41       6.28
       -38          0         22          1      47.16      32.08      12.80       0.00      10.41       0.00       6.40       0.00       4.01       3.14       0.18      13.59       0.00
       -38          0         23          1      48.91      32.72      90.33       0.00      72.82       6.28      11.16       6.28      61.67       3.14       0.86      89.72       6.28
       -38          0         24          1      70.59      42.63      71.27       3.14      56.88       3.14      58.31       3.14       1.43       3.14       0.82      71.26       3.14
       -38          0         25          1      58.94      37.19      26.14       0.00      20.79       6.28      25.23       6.28       4.43       6.28       0.39      24.93       6.28
       -38          0         26          1      56.54      37.69      93.43       3.14      74.06       3.14      27.08       3.14      46.98       0.00       0.89      93.29       3.14
       -38          0         27          1      75.34      42.09      64.05       0.00      50.57       6.28      75.79       6.28      25.22       6.28       0.84      63.27       6.28
       -38          0         28          1      45.82      31.61      58.81       3.14      46.01       3.14      20.56       3.14      25.44       0.00       0.73      59.24       3.14
       -38          0         29          0      82.41      45.13      32.47       0.00      24.62       6.28      24.62       6.28       0.00       0.00       0.00      30.98       6.28
       -38          0         30          1      56.43      37.44       0.81       0.00       0.59       0.00       0.66       0.00       0.06       0.00       0.01       1.93       0.00
       -38          0         31          1      76.12      45.53      82.09       0.00      57.86       0.00      65.89       0.00       8.02       0.00       0.81      83.40       0.00
       -38          0         32          1      77.37      39.59     107.71       3.14      72.81       3.14      69.32       3.14       3.48       0.00       0.92     107.82       3.14
       -38          1          1          1      50.19      16.62      33.23       2.13      26.22       2.13      30.81       2.13       4.59       2.13       0.57      32.71       2.12
       -38          1          2          1      73.49      20.90      89.28       2.40      70.72       2.40      58.48       2.40      12.25       5.54       0.88      88.59       2.40
       -38          1          3          1      61.21      18.99      26.14       1.20      20.78       1.20      38.51       1.20      17.73       1.20       0.48      26.15       1.21
       -38          1          4          1      52.33      16.90      63.43       2.85      50.60       2.85      27.81       2.85      22.79       5.99       0.75      63.41       2.85
       -38          1          5          1      84.03      21.38     113.21       3.58      91.07       3.58      61.91       3.58      29.16       0.44       0.91     112.59       3.57
       -38          1          6          1      62.64      19.78      50.28       0.63      40.82       0.63      47.86       0.63       7.04       0.63       0.71      49.49       0.64
       -38          1          7          1     142.79      18.34     147.06       3.19     120.34       3.19     155.20       3.19      34.86       3.19       0.96     145.91       3.18
       -38          1          8          1      91.47      22.87     121.13       4.89      99.80       4.89      68.75       4.89      31.05       1.75       0.92     120.65       4.88
       -38          1          9          1      68.45      19.77      71.18       3.55      58.99       3.55      54.24       3.55       4.75       0.41       0.83      72.05       3.55
       -38          1         10          1     106.79      22.16     116.93       5.04      97.37       5.04     101.92       5.04       4.55       5.04       0.93     116.63       5.03
       -38          1         11          0      79.36      21.72      89.97       1.06      75.20       1.06      75.20       1.06       0.00       0.00       0.00      90.91       1.07
       -38          1         12          1      83.95      24.13      52.81       2.52      44.25       2.52      85.84       2.52      41.59       2.52       0.77      53.00       2.53
       -38          1         13          1     101.52      25.38      93.70       2.00      78.63       2.00     104.30       2.00      25.67       2.00       0.90      95.78       1.99
       -38          1         14          1      65.59      19.89      27.81       1.83      23.35       1.83      45.26       1.83      21.91       1.83       0.52      28.31       1.77
       -38          1         15          1      79.66      20.80      67.36       3.72      56.53       3.72      77.64       3.72      21.11       3.72       0.84      66.69       3.72
       -38          1         16          1     125.23      21.72     102.20       4.27      85.65       4.27     148.83       4.27      63.18       4.27       0.94     102.28       4.28
       -38          1         17          1      74.91      23.32      93.46       0.78      78.13       0.78      52.31       0.78      25.83       3.93       0.87      94.84       0.81
       -38          1         18          1      98.91      25.97     128.09       3.04     106.69       3.04      76.23       3.04      30.46       6.18       0.92     128.34       3.03
       -38          1         19          1      63.09      20.91      48.06       2.30      39.84       2.30      47.18       2.30       7.34       2.30       0.69      46.72       2.29
       -38          1         20          0      73.64      22.71      52.51       3.09      43.29       3.09      43.29       3.09       0.00       0.00       0.00      52.92       3.07
       -38          1         21          1     126.92      25.90     133.57       4.05     109.36       4.05     130.15       4.05      20.79       4.05       0.94     133.24       4.06
       -38          1         22          1      74.53      23.23      86.71       1.92      70.43       1.92      56.95       1.92      13.48       5.06       0.85      87.10       1.93
       -38          1         23          1      75.86      22.97      73.47       0.05      59.15       0.05      66.43       0.05       7.29       0.05       0.83      73.32       0.04
       -38          1         24          1      74.41      23.06      82.86       1.92      66.11       1.92      59.73       1.92       6.38       5.06       0.85      82.96       1.91
       -38          1         25          1      93.29      25.43     104.10       3.86      82.78       3.86      85.43       3.86       2.65       3.86       0.90     104.86       3.86
       -38          1         26          1      75.01      23.59      63.22       1.89      50.09       1.89      70.41       1.89      20.32       1.89       0.80      64.34       1.88
       -38          1         27          1      69.84      22.81      47.73       1.15      37.67       1.15      64.08       1.15      26.41       1.15       0.73      47.40       1.15
       -38          1         28          1      72.97      23.97      38.46       4.25      30.00       4.25      66.18       4.25      36.18       4.25       0.66      38.07       4.25
       -38          1         29          1      72.93      23.36      49.12       5.98      37.12       5.98      67.32       5.98      30.20       5.98       0.72      48.31       5.99
