         h          k          l       FREE         FP      SIGFP         FC       PHIC     FC_ALL   PHIC_ALL        FWT       PHWT     DELFWT    PHDELWT        FOM  FC_ALL_LS PHIC_ALL_LS
       -35          5         15          1      31.65       2.33      38.91       3.62      34.25       3.62      24.82       3.62       9.44       0.48       0.93      38.87       3.62
       -35          5         16          1      47.71       9.08      50.93       4.62      45.04       4.62      45.45       4.62       0.42       4.62       0.95      50.86       4.62
       -35          5         18          1      11.40      11.40      45.24       5.89      40.10       5.89      25.28       2.75      65.38       2.75       0.65      45.37       5.89
       -35          5         19          1      58.41       1.86      58.89       5.86      52.08       5.86      62.09       5.86      10.01       5.86       0.98      58.82       5.86
       -35          5         20          1      28.86       2.56      32.72       0.63      28.81       0.63      23.75       0.63       5.06       3.77       0.91      32.77       0.63
       -35          5         23          1      23.51       2.79      16.84       2.58      15.00       2.58      22.66       2.58       7.66       2.58       0.80      16.90       2.58
       -35          5         25          1       9.78       9.78      21.23       3.05      18.81       3.05      10.78       6.19      29.58       6.19       0.41      21.24       3.05
       -35          6          6          1      15.89       3.04      17.55       5.91      15.41       5.91       9.90       5.91       5.51       2.77       0.80      17.55       5.91
       -35          6          8          0      11.45       4.44      10.91       5.50       9.62       5.50       9.62       5.50       0.00       0.00       0.00      10.97       5.50
       -35          6          9          1      34.57       2.57      38.54       4.68      33.89       4.68      31.90       4.68       1.99       1.54       0.95      38.51       4.68
       -35          6         10          1      55.59       1.40      66.34       5.12      58.54       5.12      50.74       5.12       7.80       1.98       0.98      66.28       5.12
       -35          6         11          1      10.28      10.28      13.71       0.24      12.18       0.24       6.41       3.38      18.59       3.38       0.28      13.74       0.24
       -35          6         15          1      30.35       3.04      30.08       2.16      26.57       2.16      28.69       2.16       2.12       2.16       0.91      30.13       2.15
       -35          6         17          1      20.54       3.04      15.63       4.69      13.76       4.69      14.80       4.69       1.04       4.69       0.69      15.72       4.69
       -35          6         18          1      23.81       3.03      27.07       3.66      23.83       3.66      17.26       3.66       6.58       0.51       0.86      27.11       3.65
       -35          6         20          1      21.24       4.67      28.08       5.92      24.80       5.92      10.96       5.92      13.84       2.78       0.84      28.18       5.93
       -35          6         22          1      33.62       2.33      41.79       1.73      37.19       1.73      26.69       1.73      10.50       4.87       0.95      41.76       1.73
       -35          6         24          1      11.91       6.07      12.53       1.89      11.13       1.89       1.24       5.03      12.37       5.03       0.42      12.55       1.89
       -35          6         27          0       6.30       6.30      10.89       3.12       9.59       3.12       9.59       3.12       0.00       0.00       0.00      10.94       3.12
       -35          6         29          1      14.25       3.50      17.05       2.59      14.97       2.59       6.43       2.59       8.54       5.73       0.75      17.05       2.59
       -35          7          7          1      21.81       1.88      20.14       1.48      17.68       1.48      20.64       1.48       2.96       1.48       0.88      20.15       1.48
       -35          7          8          1      25.79       2.81      31.51       3.55      27.68       3.55      20.10       3.55       7.58       0.41       0.93      31.54       3.55
       -35          7         10          1      57.67       2.34      50.00       2.10      43.99       2.10      68.77       2.10      24.78       2.10       0.98      49.91       2.10
       -35          7         11          1      55.09       1.41      55.22       2.80      48.84       2.80      59.05       2.80      10.22       2.80       0.98      55.22       2.80
       -35          7         14          1      25.55       2.11      24.84       3.91      22.12       3.91      23.20       3.91       1.08       3.91       0.89      24.85       3.90
       -35          7         15          1      46.40       2.11      49.25       5.95      43.72       5.95      46.19       5.95       2.47       5.95       0.97      49.34       5.95
       -35          7         16          1      27.89       2.81      31.88       0.04      28.24       0.04      22.64       0.04       5.61       3.18       0.91      31.98       0.04
       -35          7         18          1      36.55       3.05      32.43       5.50      28.70       5.50      39.55       5.50      10.86       5.50       0.93      32.25       5.50
       -35          7         20          1      44.29       2.58      41.02       0.03      36.41       0.03      48.61       0.03      12.19       0.03       0.96      41.12       0.03
       -35          7         23          0      15.70       4.69       9.11       6.21       8.11       6.21       8.11       6.21       0.00       0.00       0.00       9.14       6.21
       -35          7         26          1       0.94       0.94      11.37       0.91      10.00       0.91       9.92       4.05      19.92       4.05       0.05      11.40       0.91
       -35          7         28          0      21.80       3.28      16.10       3.73      14.13       3.73      14.13       3.73       0.00       0.00       0.00      16.08       3.73
       -35          8          8          1      18.84       2.83      18.67       5.83      16.39       5.83      14.71       5.83       1.68       2.68       0.83      18.66       5.83
       -35          8          9          1      12.24      10.83      20.58       2.27      18.07       2.27       6.84       5.41      24.91       5.41       0.46      20.58       2.27
       -35          8         10          1      20.01       2.12      21.72       4.32      19.12       4.32      14.71       4.32       4.41       1.18       0.85      21.78       4.32
       -35          8         11          0      30.84       1.65       5.48       0.62       4.82       0.62       4.82       0.62       0.00       0.00       0.00       5.48       0.61
       -35          8         12          1      48.49       1.18      48.93       1.44      43.30       1.44      51.11       1.44       7.81       1.44       0.97      48.99       1.45
       -35          8         15          1      27.77       1.88      26.72       2.51      23.86       2.51      26.65       2.51       2.79       2.51       0.91      26.74       2.51
       -35          8         16          1      23.77       4.47      15.62       3.94      13.92       3.94      22.29       3.94       8.37       3.94       0.76      15.65       3.94
       -35          8         18          1       8.00       8.00       6.73       4.12       5.99       4.12       3.87       0.98       9.86       0.98       0.13       6.78       4.12
       -35          8         19          1      16.00       2.59      15.78       5.30      14.06       5.30       7.51       5.30       6.55       2.16       0.67      15.78       5.30
       -35          8         22          1      29.42       2.35      20.31       1.65      18.07       1.65      34.03       1.65      15.96       1.65       0.89      20.32       1.65
       -35          8         25          1      17.65       4.00      24.47       5.65      21.54       5.65       7.56       5.65      13.98       2.51       0.82      24.54       5.65
       -35          8         27          1      16.01       4.24      18.35       4.13      16.12       4.13       8.16       4.13       7.96       0.99       0.76      18.38       4.13
