      104m     137l     169l  1a28  1a2a    19hc  105m    153l    154l    157d     176l    180l     1a3a     1a01  1a02  1a0o  1a2a  1a2j    135l
96     1.0   129.04   266.86   0.0   1.0  121.56   1.0   32.29   30.34   38.75    48.64   50.91    26.64    70.37   1.0   1.0   1.0   1.0   39.75
97     1.0   101.11   319.17   1.0   1.0   15.70   1.0  101.50   55.96   25.73   118.80   19.61   100.66    77.95   1.0   1.0   1.0   1.0   72.02
98     1.0    56.10   295.88   1.0   0.0   89.97   1.0   21.24   54.13   64.44    81.84   72.90    47.06    75.25   1.0   1.0   0.0   1.0   77.56
99     1.0    49.11   296.02   1.0   1.0   29.43   1.0   49.66   15.58   61.95    40.80    8.88    70.86   116.68   0.0   1.0   1.0   1.0   30.84
100    1.0    95.26   218.39   0.0   1.0   83.06   0.0  114.19   66.87   56.04    94.97   14.52    89.57   101.68   1.0   1.0   1.0   1.0   25.26
101    1.0    83.69   470.37   1.0   1.0   82.79   1.0   65.39   39.39   47.71    50.36   18.65    47.92   115.29   1.0   1.0   1.0   1.0   27.76
102    1.0    72.82   463.89   1.0   0.0  138.34   1.0   66.56   57.40    4.50    58.51   22.47    28.89    92.03   1.0   1.0   0.0   1.0   36.30
103    1.0    85.87   225.36   1.0   1.0   85.53   1.0   18.09   62.53   33.90    93.87    9.99    57.44   111.82   1.0   1.0   1.0   1.0   49.81
104    1.0    84.96   486.38   1.0   1.0   57.25   1.0   83.56   53.17   22.73    76.73   37.77    33.16    34.74   0.0   1.0   1.0   1.0   46.46
105    1.0    40.01   215.52   1.0   1.0  155.47   0.0   72.13   63.20   16.83   110.79   13.99    53.65    38.97   1.0   1.0   1.0   1.0   39.47
106    1.0    72.08   512.27   1.0   1.0  120.77   1.0   89.11   21.63   24.92    75.32   18.11    93.82    49.73   1.0   1.0   1.0   1.0   59.80
107    1.0    65.12   317.17   1.0   1.0  101.57   1.0   31.36   67.38   43.75   125.42   21.68    29.81    65.72   0.0   1.0   1.0   0.0   61.41
108    1.0    49.12   407.49   1.0   1.0   48.28   1.0   35.95  121.95   35.12   261.19   28.38    49.92   136.36   0.0   1.0   1.0   1.0   34.46
109    1.0    65.19   267.32   1.0   1.0   43.71   1.0   15.67   57.35   20.76   104.11    2.92    84.74   115.01   1.0   1.0   1.0   1.0   26.10
110    1.0    71.75   511.48   1.0   1.0   67.08   1.0   46.14   66.39   33.70   208.14   23.83    30.68    51.13   1.0   1.0   1.0   0.0   40.64
