         h          k          l       FREE         FP      SIGFP      FCalc    PHICalc
         k          l       FREE         FP        SIGFP        FCalc      PHICalc
         k          l       FREE         FP        SIGFP        FCalc      PHICalc            h            k            l         FREE           FP        SIGFP        FCalc      PHICalc            h            k            l         FREE           FP        SIGFP        FCalc      PHICalc            h            k            l         FREE           FP        SIGFP        FCalc      PHICalc            h            k            l         FREE           FP        SIGFP        FCalc      PHICalc            h            k            l         FREE           FP        SIGFP        FCalc      PHICalc            h            k            l           FP        SIGFP        FCalc      PHICalc
       -25          3          3     321.04        23.97       385.73        -3.05
       -25          3          4     126.22        49.94       117.83        -0.82
       -25          3          7     440.17        25.20       331.89        -3.02
       -25          3          8     620.23        20.48       621.94        -3.10
       -25          3          9     340.27        28.36       227.32        -2.13
       -25          3         10     410.37        24.81       359.40        -1.61
       -25          3         11      48.43       155.94       306.39         0.82
       -25          3         12     542.89        22.83       449.33         2.41
       -25          3         13     247.93        32.27       384.95         2.89
       -25          3         14     292.66        31.47       257.86         2.79
       -25          3         15     352.25        26.34       293.59        -0.03
       -25          3         16     431.38        22.00       361.16        -3.14
       -25          3         17     333.68        27.09       350.30        -1.95
       -25          3         18     178.85        45.10       310.59         1.49
       -25          3         19     278.19        28.60       303.73        -1.26
       -25          3         20     145.98        50.88       290.90         1.81
       -25          3         21     212.64        38.31       141.97         0.97
       -25          4          1     236.42        31.42       242.08        -0.18
       -25          4          2     437.88        15.72       483.93         0.28
       -25          4          3     410.29        21.24       399.11        -1.23
       -25          4          4     240.51        28.34       202.10         0.69
       -25          4          5     509.63        17.72       423.76        -2.35
       -25          4          6     459.81        26.40       404.89        -1.53
       -25          4          7     230.96        39.41       177.59        -1.42
       -25          4          8     490.01        24.44       568.00        -0.14
       -25          4          9     388.34        27.20       312.96        -0.63
       -25          4         10     358.76        28.78       486.61        -0.79
       -25          4         11     163.99        51.64       222.08        -2.75
       -25          4         12     406.32        25.62       244.07         3.03
       -25          4         13     485.76        22.06       511.22        -2.73
       -25          4         14     276.04        34.26       322.19        -1.13
       -25          4         15     261.32        30.70       262.28         0.26
       -25          4         16     206.48        39.33       178.81        -1.24
       -25          4         17      82.53        92.35       211.88        -2.53
       -25          4         18     420.89        24.34       502.92        -1.96
       -25          4         19     342.02        26.67       358.66        -0.05
       -25          4         20     231.15        37.61       181.34         2.90
       -25          4         21     238.70        34.83       253.24         1.29
       -25          5          1     301.64        14.94       351.24         1.29
       -25          5          2     368.81        23.22       233.32         1.11
       -25          5          3     439.60        21.66       371.84         0.57
       -25          5          4     290.89        24.44       182.22         1.80
       -25          5          5     312.74        24.06       263.65        -2.13
       -25          5          6     444.26        16.97       415.67        -0.19
       -25          5          7     362.70        29.21       320.98        -2.50
       -25          5          8     721.21        20.13       595.48         2.53
       -25          5          9     462.30        24.87       544.29         2.24
       -25          5         10     527.03        23.29       462.42         0.82
       -25          5         11     289.34        34.74       210.43        -0.64
       -25          5         12     259.67        36.31       223.87        -0.82
       -25          5         13     455.65        22.49       585.14        -0.97
       -25          5         14     311.12        31.55       108.46         0.35
       -25          5         15     285.33        33.50       202.92        -1.63
       -25          5         16     132.33        61.44       222.00        -0.66
       -25          5         17     162.52        55.49        97.30        -1.04
       -25          5         18     241.79        35.78       193.69         0.70
       -25          5         19      85.62        97.01       116.90        -1.53
       -25          5         20     164.78        51.79        75.54        -0.36
       -25          5         21     387.53        25.47       249.40         2.10
       -25          6          1     215.08        22.06       237.65        -2.49
       -25          6          2     194.77        36.67       296.66         2.78
       -25          6          3     175.58        40.25       253.66         2.80
       -25          6          4     246.76        30.40       327.01         2.07
       -25          6          5     261.51        20.54       165.49        -0.60
       -25          6          6     413.38        26.87       275.46         2.73
       -25          6          7     319.82        32.42       455.74        -1.85
       -25          6          8     434.56        26.49       365.03        -2.44
       -25          6          9     163.32        56.55       140.90        -2.90
       -25          6         10     203.65        46.66       255.68         2.05
       -25          6         11     357.04        28.86       297.92         1.88
       -25          6         12     328.10        30.83       341.66        -0.93
       -25          6         13     618.82        21.73       445.74         0.48
       -25          6         15     293.70        35.13       192.28         0.36
       -25          6         16     113.61        75.35       258.07         1.43
       -25          6         17     283.80        32.32       209.42         2.12
       -25          6         18     339.47        29.14       468.06         2.76
       -25          6         19     231.72        40.13       193.86         0.83
       -25          6         20     227.53        41.66       137.58        -1.56
       -25          6         21     157.78        55.73       273.37        -0.76
       -25          7          1     191.03        38.29       258.55        -2.86
       -25          7          2     288.38        27.65       261.34        -2.08
       -25          7          3     289.79        26.49       160.42         2.65
       -25          7          4     197.40        36.00       226.52        -2.70
       -25          7          5     144.08        30.87        83.56         0.90
       -25          7          6     188.09        25.34       325.12        -1.35
       -25          7          7     261.83        17.82       261.77        -1.18
       -25          7          8     418.38        27.34       440.61        -0.68
       -25          7          9     334.02        33.68       306.02         1.98
       -25          7         10     120.45        76.47       295.15         2.10
       -25          7         11     387.85        28.92       386.95        -2.92
       -25          7         12     307.75        30.89       146.47         1.49
       -25          7         13     411.38        25.34       286.78        -2.90
       -25          7         14     103.69        91.82       179.61         2.86
       -25          7         16     176.68        52.57       233.09        -0.78
       -25          7         17     109.80        82.54       297.86         1.97
       -25          7         18     318.04        33.94       325.75         2.63
       -25          7         19     176.20        54.79       165.18        -2.32
       -25          7         20      26.38       309.09       356.64        -0.77
       -25          7         21     221.41        43.65       248.43         1.49
       -25          8          1     199.38        39.16       209.35        -1.50
       -25          8          2     238.36        37.22       338.33         0.38
       -25          8          3     251.22        31.30       146.12        -2.76
       -25          8          4     272.79        20.22       287.82        -3.00
       -25          8          5     413.38        13.49       289.99         1.09
       -25          8          6     324.65        17.46       279.26        -0.22
       -25          8          7     286.64        18.26       263.33        -0.09
       -25          8          8     279.95        20.25       369.09         0.90
       -25          8          9     143.76        64.33       199.60         3.00
       -25          8         10     141.77        67.51       222.16        -2.29
       -25          8         11     166.77        56.78       153.42        -0.21
       -25          8         12     214.76        47.24       272.00        -2.41
       -25          8         13     356.76        30.56       321.07        -1.73
       -25          8         14     231.25        42.44       181.30         2.27
       -25          8         15     197.82        50.35       156.52         0.41
       -25          8         16     293.56        36.05       179.25         1.77
       -25          8         17     244.63        40.38       141.69        -2.64
       -25          8         18     178.76        54.58       207.75        -2.80
       -25          8         19     190.83        55.31       151.55        -0.32
       -25          8         20      72.62       120.76       282.49        -0.58
       -25          9          1     267.32        30.94       402.28         0.24
       -25          9          2     328.29        28.18       340.33         1.50
