    h  k  l  FP     SIGFP  FC     PHIC FC_ALL PHIC_ALL FWT    PHWT DELFWT PHDELWT FOM  FC_ALL_LS PHIC_ALL_LS 
101 -7 3  1  182.27 55.18  174.42 3.25 157.92 3.35     139.14 3.35 18.78  0.21    0.81 194.50    3.51        
102 -7 3  2  392.59 47.40  498.44 6.24 410.80 6.27     353.19 6.27 57.61  3.12    0.97 419.58    0.04        
103 -7 3  3  387.18 44.63  382.21 1.32 348.17 1.28     401.87 1.28 53.70  1.28    0.97 415.88    1.23        
104 -7 3  4  188.09 117.77 243.99 1.08 202.82 1.22     52.43  1.22 150.39 4.36    0.68 218.02    1.41        
105 -7 3  5  405.95 48.58  322.28 0.37 301.90 0.36     480.65 0.36 178.75 0.36    0.96 354.01    0.36        
106 -7 3  6  179.88 112.29 112.73 5.49 43.67  5.71     29.37  5.71 14.30  2.57    0.20 17.84     0.75        
107 -7 3  7  427.56 51.42  516.30 4.69 469.37 4.76     366.40 4.76 102.97 1.62    0.98 516.11    4.79        
108 -7 4  1  264.72 45.70  191.93 4.89 181.85 4.90     298.72 4.90 116.87 4.90    0.91 222.50    4.90        
109 -7 4  2  340.10 32.34  272.84 5.60 228.65 5.70     418.42 5.70 189.77 5.70    0.95 244.01    5.83        
110 -7 4  3  223.12 40.72  211.08 5.16 161.38 5.14     231.52 5.14 70.14  5.14    0.88 150.26    5.11        
111 -7 4  4  426.90 51.34  368.33 3.70 329.43 3.76     496.68 3.76 167.25 3.76    0.97 369.50    3.81        
112 -7 4  5  239.50 83.18  324.43 6.26 281.37 6.25     147.50 6.25 133.87 3.11    0.90 303.87    6.24        
113 -7 4  6  231.79 84.90  271.10 4.35 237.33 4.20     164.10 4.20 73.23  1.06    0.87 258.31    4.12        
114 -7 5  1  161.02 52.93  264.22 5.82 167.11 5.77     92.42  5.77 74.69  2.63    0.81 122.66    5.67        
115 -7 5  2  419.73 25.08  428.31 4.48 386.95 4.48     434.33 4.48 47.38  4.48    0.98 433.37    4.48        
116 -7 5  3  553.20 18.96  397.10 2.23 364.13 2.38     723.73 2.38 359.61 2.38    0.98 414.85    2.48        
117 -7 5  4  489.28 47.42  519.19 0.13 476.00 0.11     484.36 0.11 8.36   0.11    0.98 529.67    0.10        
118 -7 5  5  382.89 58.61  603.20 2.55 470.89 2.54     273.87 2.54 197.02 5.69    0.97 475.72    2.54        
119 -7 6  1  153.18 59.60  113.77 1.85 136.11 2.02     82.92  2.02 53.19  5.16    0.71 168.93    2.08        
120 -7 6  2  247.98 49.60  222.53 3.10 232.24 2.99     224.12 2.99 8.12   6.13    0.92 271.35    2.94        
121 -7 6  3  223.56 95.89  170.26 3.43 124.15 3.21     171.22 3.21 47.07  3.21    0.66 123.67    3.07        
122 -7 6  4  231.46 92.59  232.38 2.45 212.38 2.62     172.55 2.62 39.83  5.76    0.83 231.50    2.68        
123 -7 7  1  408.15 32.85  423.73 0.70 396.87 0.69     401.17 0.69 4.30   0.69    0.98 427.27    0.69        
124 -7 7  2  245.66 51.25  308.26 6.07 311.13 6.25     151.37 6.25 159.76 3.11    0.94 342.34    0.01        
125 -7 7  3  376.74 73.01  452.08 5.93 395.62 6.08     328.61 6.08 67.01  2.93    0.96 416.70    6.11        
126 -7 8  1  291.10 41.75  248.80 4.00 244.32 4.15     306.23 4.15 61.92  4.15    0.95 257.04    4.17        
127 -7 8  2  489.46 31.18  448.32 0.63 418.73 0.62     544.03 0.62 125.30 0.62    0.98 436.50    0.62        
128 -7 8  3  238.99 59.61  216.61 1.62 201.51 1.87     227.72 1.87 26.21  1.87    0.90 209.74    1.89        
129 -7 9  1  656.50 47.29  793.91 4.27 678.95 4.28     622.46 4.28 56.49  1.14    0.99 704.31    4.29        
130 -7 9  2  208.72 72.36  214.46 1.16 150.19 1.18     184.57 1.18 34.37  1.18    0.80 155.33    1.18        
131 -7 9  3  374.19 45.10  507.92 3.47 475.57 3.52     256.58 3.52 218.99 0.38    0.98 496.60    3.52        
132 -7 10 1  276.37 55.05  400.14 1.30 311.86 1.23     212.30 1.23 99.56  4.37    0.95 332.90    1.23        
133 -7 10 2  495.68 36.16  554.43 2.24 405.49 2.20     568.58 2.20 163.08 2.20    0.98 434.28    2.20        
134 -7 10 3  322.25 49.53  249.36 1.45 249.21 1.22     361.86 1.22 112.65 1.22    0.95 265.65    1.23        
135 -7 11 1  127.83 117.27 191.41 0.78 136.07 0.97     31.68  4.11 167.74 4.11    0.41 150.97    0.95        
136 -7 11 2  338.05 51.71  303.20 6.02 282.13 6.13     363.72 6.13 81.59  6.13    0.96 307.43    6.12        
137 -7 11 3  342.65 52.29  439.40 0.96 368.36 0.92     293.74 0.92 74.62  4.06    0.97 405.86    0.93        
138 -7 12 1  224.39 77.76  193.23 2.41 193.51 2.47     188.53 2.47 4.98   5.61    0.85 213.60    2.46        
139 -7 12 2  258.94 65.01  247.25 2.79 213.25 2.89     255.61 2.89 42.36  2.89    0.91 239.79    2.88        
140 -7 12 3  461.41 37.80  585.57 3.44 497.81 3.46     410.55 3.46 87.26  0.32    0.98 560.09    3.46        
141 -7 13 1  448.49 43.85  535.66 5.86 469.08 5.85     410.61 5.85 58.47  2.71    0.98 527.68    5.83        
142 -7 13 2  478.67 39.43  480.29 5.40 429.01 5.38     510.23 5.38 81.22  5.38    0.98 501.41    5.34        
143 -7 13 3  819.43 32.22  877.57 4.73 756.92 4.73     872.38 4.73 115.46 4.73    0.99 815.85    4.72        
144 -7 18 18 247.42 117.58 242.13 1.50 223.10 1.52     174.49 1.52 48.61  4.67    0.80 232.03    1.54        
145 -7 19 15 120.07 239.58 219.03 1.29 188.31 1.34     145.50 4.48 333.82 4.48    0.18 201.93    1.31        
146 -7 19 16 330.90 114.57 266.20 3.31 240.93 3.32     339.24 3.32 98.30  3.32    0.88 249.71    3.32        
147 -7 19 17 304.92 105.72 354.96 1.65 314.23 1.64     240.91 1.64 73.33  4.78    0.91 342.84    1.64        
148 -7 19 18 396.38 82.95  279.70 5.60 357.01 5.51     401.27 5.51 44.26  5.51    0.96 299.86    5.58        
