                    h          k          l       FREE         FP      SIGFP      FCalc    PHICalc
       351        -16          8          9          0      60.21      18.41      41.52       0.63
       352        -16          8         10          1      42.66      16.87      60.30      -2.62
       353        -16          8         11          0      54.38      19.52      71.80       0.28
       354        -16          8         12          1      32.63      17.46      42.39       2.11
       355        -16          8         13          1       7.92      17.51      18.90      -0.84
       356        -16          9          1          1      28.67      15.68      59.57      -2.04
       357        -16          9          2          1      77.14      19.68      44.92       0.06
       358        -16          9          3          1      21.67      13.99      30.37      -1.33
       359        -16          9          4          1      10.02      15.74      38.17       2.43
       360        -16          9          5          1      70.83      20.05      80.07       1.29
       361        -16          9          6          1      39.50      20.09      57.28       1.20
       362        -16          9          7          1      64.77      20.67      46.38      -2.47
       363        -16          9          8          1      17.01      17.42      43.58       2.78
       364        -16          9          9          0     124.53      28.85     115.26       3.05
       365        -16          9         10          1      24.63      17.13      27.68       2.13
       366        -16          9         11          1      77.94      20.72      75.55      -2.98
       367        -16          9         12          1      75.99      20.48      62.93       1.52
       368        -16         10          1          1      39.87      16.62      51.15      -0.40
       369        -16         10          2          1      30.97      14.57      31.87      -2.99
       370        -16         10          3          1      52.14      16.83      61.87       2.28
       371        -16         10          4          1      20.31      15.94      18.74      -0.34
       372        -16         10          5          1      62.35      17.51      34.38       1.54
       373        -16         10          6          1      32.00      16.64      34.36      -2.93
       374        -16         10          7          1      20.54      17.02      31.02       2.73
       375        -16         10          9          1     100.99      23.79     106.59       0.15
       376        -16         10         10          1      39.98      16.42      45.08       2.89
       377        -16         10         11          1      45.33      17.84      64.44       1.29
       378        -16         10         12          1      64.76      19.06      72.20      -1.13
       379        -16         11          1          0      68.10      20.59      68.17       1.01
       380        -16         11          3          1      77.91      19.76      76.28      -0.42
       381        -16         11          4          1     101.68      25.08     109.18      -2.13
       382        -16         11          5          1      71.83      19.82     101.09       0.69
       383        -16         11          6          1      92.06      22.07     104.61      -1.94
       384        -16         11          7          1      79.48      19.86      72.04       2.02
       385        -16         11          8          0      31.72      15.65      36.89      -2.46
       386        -16         11          9          1      43.39      16.78      36.32       2.72
       387        -16         11         10          1     107.49      25.04     119.35       2.08
       388        -16         11         11          1      14.48      16.47      46.56       1.45
