                    h          k          l         FP      SIGFP      FCalc    PHICalc
       495        -16         31          5     131.35       0.91     127.26      -2.70
       496        -16         31          7      84.95       0.90      70.34       2.86
       497        -16         32          1      33.06       0.93      20.33      -2.65
       498        -16         32          3     138.42       0.92     145.61       1.84
       499        -16         32          4      76.61       0.91      53.95       0.17
       500        -16         32          5      94.83       0.91      90.38      -2.06
       501        -16         32          7      84.58       0.90     163.78      -2.00
       502        -16         33          3      67.24       0.92      78.52      -2.53
       503        -16         33          4     129.51       0.91     116.13      -2.07
       504        -16         33          5      75.00       0.91      82.19       1.52
       505        -16         34          1      86.17       0.92     102.30      -1.50
       506        -16         34          3      87.65       0.91     108.55      -2.51
       507        -16         34          4     121.60       0.91      81.20       3.07
       508        -16         34          5     135.58       0.91     137.15      -0.82
       509        -16         35          1      76.93       0.92     100.40       0.94
       510        -16         35          3     125.64       0.91      67.37       1.68
       511        -16         35          4     104.79       0.91     127.38       1.64
