                    h          k          l       FREE         FP      SIGFP      FCalc    PHICalc
       377        -21          1         23          1      47.81      11.31      26.62      -2.83
       378        -21          2          1          1     147.71       3.08     197.11      -1.57
       379        -21          2          2          1      19.33      13.49      84.21       2.19
       380        -21          2          3          1      85.22       5.41      86.48      -0.80
       381        -21          2          4          1     128.03       4.60     128.72       0.95
       382        -21          2          5          1     140.30       3.90     126.72       2.38
       383        -21          2          6          1     122.65       3.55      63.24      -1.76
       384        -21          2          7          0     189.89       3.94     236.98       2.09
       385        -21          2          8          1     151.89       3.72     194.69      -1.33
       386        -21          2          9          1     206.31       3.86     207.52       1.84
       387        -21          2         10          1     161.74       3.50     128.99      -2.38
       388        -21          2         11          1     121.23       3.77     150.41      -0.34
       389        -21          2         12          1      69.12       5.30      56.53      -3.10
       390        -21          2         13          1      81.52       6.58      86.99      -1.01
       391        -21          2         14          1      59.56       7.62     131.69       1.23
       392        -21          2         15          0      88.90       5.60      87.87       0.14
       393        -21          2         16          1      70.61       7.92      70.69       1.32
       394        -21          2         17          1      93.16       6.65     118.74       0.52
       395        -21          2         18          1      90.64       6.03     110.38      -2.73
       396        -21          2         19          1      82.82       6.55      67.35       2.65
       397        -21          2         20          1      76.23       6.68     125.63      -0.43
       398        -21          2         21          1     224.62       5.02     240.33      -2.38
       399        -21          2         22          1      90.48       5.79      52.26      -0.10
       400        -21          2         23          1      54.32      10.30      25.75       2.13
       401        -21          3          1          1      83.50       4.28     152.12       2.48
       402        -21          3          2          1     104.70       3.23      28.64      -1.58
       403        -21          3          3          1     128.23       3.01     102.57      -3.00
       404        -21          3          4          1     141.47       3.40     199.55      -0.48
       405        -21          3          5          1     125.53       3.17      53.40      -3.11
       406        -21          3          6          1      49.02       7.00      56.11      -1.38
       407        -21          3          7          1     203.25       3.83     233.67       2.31
       408        -21          3          8          1     131.05       3.60     138.01      -1.78
       409        -21          3          9          1     137.45       3.75     127.69      -0.01
       410        -21          3         10          1     176.72       3.76     212.19      -2.47
       411        -21          3         11          0      86.54       4.53      62.23      -0.32
       412        -21          3         12          1      64.88       6.58      15.16       0.52
       413        -21          3         13          1     174.14       3.93     241.24      -2.06
       414        -21          3         14          1     121.86       4.33     118.13       3.03
       415        -21          3         15          1     172.27       3.96     118.04       3.11
