                    h          k          l       FREE         FP      SIGFP      FCalc    PHICalc
       359        -34          0         13          1     200.75     214.05      66.27       3.14
       360        -34          0         14          1     242.63     173.48     102.58       3.14
       361        -34          0         15          1     611.53      65.86     673.92       3.14
       362        -34          0         17          1     408.91      71.75     630.31       0.00
       363        -34          0         19          0     311.01     131.32      50.46       3.14
       364        -34          1          7          1     249.58      85.79      81.07      -2.70
       365        -34          1          9          0      55.11     364.61     113.86       1.10
       366        -34          1         12          1     163.95     198.45     119.07       2.41
       367        -34          1         13          1     262.55     234.77     283.97      -3.00
       368        -34          1         14          1     215.74     100.76     243.39       0.88
       369        -34          1         18          1     245.65      85.32     423.79      -0.14
       370        -34          1         19          0     228.44     190.51     487.11      -2.16
       371        -34          2          1          1     216.34      90.17     166.75      -1.86
       372        -34          2          2          1     565.48      37.29     441.58      -1.70
       373        -34          2          3          1     639.09     130.99     411.76      -2.27
       374        -34          2          4          1     266.65      96.63     226.77      -2.11
       375        -34          2          5          1     183.64     221.32     345.19      -0.95
       376        -34          2          6          1     343.07      39.80     299.40      -2.97
       377        -34          2          8          1      83.46     194.99     240.98      -0.47
       378        -34          2          9          1     222.26      74.34     151.35      -1.26
       379        -34          2         10          1     297.24      45.67     168.94       0.90
       380        -34          2         11          0     246.12     118.26     285.27      -1.45
       381        -34          2         12          1     517.31      35.65     350.19      -2.20
       382        -34          2         13          1     431.09      45.38     245.92       0.66
       383        -34          2         14          1     367.77      76.24     449.31      -1.40
       384        -34          2         15          1     586.58      39.11     791.57       2.93
       385        -34          2         16          1     200.80      61.69     268.57       1.65
       386        -34          2         17          1     240.05     169.54     291.36      -0.75
       387        -34          2         18          1     288.03      99.31     375.82      -2.19
       388        -34          3          3          1     314.18     128.05     298.58       2.70
       389        -34          3          5          1     232.93      63.99     122.06      -0.03
       390        -34          3          7          1     244.59     120.62     390.52      -2.62
       391        -34          3          8          1     178.45     231.57     105.28      -1.63
       392        -34          3         13          0      59.04     258.46     264.74       2.76
       393        -34          3         15          1     237.72      88.95      77.16      -2.73
       394        -34          3         16          1     250.28      90.68     185.71       2.08
       395        -34          3         17          1     159.69      79.03     348.77       1.90
       396        -34          4          3          1     616.45      67.77     454.49       2.67
       397        -34          4          4          1     375.97     140.44     445.15       3.02
       398        -34          4          5          1     264.22     169.93     151.80       0.21
       399        -34          4          6          1     515.37      76.94     521.98      -0.61
       400        -34          4          7          1     417.67      51.19     497.97       1.28
       401        -34          4          8          1     518.94     108.42     614.98      -0.07
       402        -34          4          9          1     187.35     219.77     524.70      -0.60
       403        -34          4         10          0     288.95     195.42     430.87      -2.76
       404        -34          4         12          1     278.71      51.48     234.51       2.23
       405        -34          4         15          1     375.90      63.38     549.99       3.01
       406        -34          4         16          1     184.08      84.59      63.17      -2.74
       407        -34          4         17          1     162.04     341.99     208.08      -1.18
       408        -34          5          2          1     204.02      66.58     183.84      -0.70
