                    h          k          l         FP      SIGFP      FCalc    PHICalc          
       360         -6          2          5    1279.96      32.70     791.07      -1.91
       361         -6          3          1     273.16      35.98     310.47       0.24
       362         -6          3          2     447.88      24.66     196.71       1.74
       363         -6          3          3     490.05      36.00     342.60      -1.68
       364         -6          3          4     227.45      44.69     203.15      -2.24
       365         -6          3          5     256.22      40.04     514.85      -0.60
       366         -6          4          1     952.55      15.32     845.60       0.78
       367         -6          4          2     357.84      47.98     227.72       1.19
       368         -6          4          3     281.31      40.00     563.91       0.28
       369         -6          4          4     224.74      48.01     103.70      -2.20
       370         -6          4          5    1193.49      18.01    1422.66       1.87
       371         -6          5          1     256.40      56.61     342.02       0.96
       372         -6          5          2     219.18      60.63     297.07       0.63
       373         -6          5          3     296.57      45.32     247.89      -1.56
       374         -6          6          1     225.70     141.14      31.59      -0.83
       375         -6          6          2     267.07     105.23     527.23      -0.36
       376         -6          7          1     266.88     105.16     125.29      -2.10
       377         -6          8          1     326.65     113.10     587.06       2.13
       378         -6          8         22     284.59     120.14     333.22      -1.59
       379         -6          8         23     558.71      67.15     480.19       1.26
       380         -6          9         17     852.08      42.84     866.42      -0.85
       381         -6          9         18     311.39     107.81     151.12      -0.20
       382         -6          9         19     779.16      46.23     732.58      -1.05
       383         -6          9         20    1090.52      45.58    1031.91      -1.47
       384         -6          9         21     705.45      57.67     463.98      -0.08
       385         -6          9         22     304.59     110.70     392.14       0.85
       386         -6          9         23    1026.97      47.66     951.97      -3.05
       387         -6         10          1     268.52      67.13     319.54      -1.94
       388         -6         10         14    1122.45      37.41    1085.87       0.03
       389         -6         10         15     124.33     202.53     167.00       0.01
       390         -6         10         16     197.27     137.75     205.08      -2.05
       391         -6         10         17     499.75      60.21     385.61      -2.93
       392         -6         10         18     877.47      44.17     827.65      -0.21
       393         -6         10         19     381.01      80.35     345.74      -0.53
       394         -6         10         20    1020.30      46.23    1085.18       0.36
       395         -6         10         21     205.09     164.21     228.10      -2.66
       396         -6         10         22     421.11      88.51     593.77       1.53
       397         -6         11          1     167.40     119.57     261.85       1.82
       398         -6         11          9     239.88      83.29     446.15      -2.15
       399         -6         11         10     457.97      54.66     439.59       0.88
       400         -6         11         11     192.07     120.04     325.85       0.68
       401         -6         11         12     586.45      43.37     653.07      -1.63
       402         -6         11         13     768.25      26.70     845.23      -0.39
       403         -6         11         14     295.15     102.17     476.12      -2.59
       404         -6         11         15     867.12      43.42    1126.83      -0.67
       405         -6         11         16     298.75     103.59     392.71      -0.99
       406         -6         11         17     453.34      69.54     388.47      -0.15
       407         -6         11         18     567.93      56.86     668.15      -0.51
       408         -6         11         19     335.96     116.45     393.41       2.52
       409         -6         11         20     599.26      58.25     576.80       1.79
       410         -6         11         21     546.62      66.32     612.18       2.67
       411         -6         12          5     331.11      69.81     436.20       3.00
       412         -6         12          7     371.30      60.55     343.16      -0.51
       413         -6         12          8     475.29      45.93     560.87      -2.32
       414         -6         12          9     496.79      33.30     553.89       1.44
       415         -6         12         10     475.68      37.31     574.67      -0.25
       416         -6         12         11     366.57      87.98     300.89       0.58
       417         -6         12         12     463.41      38.67     362.50      -1.02
       418         -6         12         13     401.57      54.03     349.54       0.01
       419         -6         12         14    1071.76      23.36    1053.21      -3.13
       420         -6         12         15     560.82      54.75     633.26      -1.63
       421         -6         12         16     490.26      74.81     628.67       0.29
       422         -6         12         17    1252.94      42.10    1228.73      -1.36
       423         -6         12         18     368.36      84.24     381.38       2.89
       424         -6         12         19     220.05     146.48     248.10      -2.71
       425         -6         12         20     557.41      66.92     525.53      -2.17
       426         -6         13          2     287.38      99.55     408.40       3.13
       427         -6         13          3     586.25      43.16     553.62       0.76
       428         -6         13          4     476.22      47.82     517.10      -0.57
       429         -6         13          5     478.40      35.22     522.80       1.71
       430         -6         13          6     459.31      36.56     360.82      -2.38
       431         -6         13          7     625.73      41.89     472.74       2.36
       432         -6         13          8     957.93      23.28     942.53       1.65
       433         -6         13          9     362.03      47.25     239.54      -0.63
       434         -6         13         10     472.04      37.95     476.56      -2.68
       435         -6         13         11     686.04      29.31     730.34      -3.10
       436         -6         13         12     301.18      78.63     309.29      -1.98
       437         -6         13         13     553.96      36.00     395.33      -2.43
       438         -6         13         14     404.15      59.35     367.18      -0.65
       439         -6         13         15     495.73      44.04     588.47      -1.63
       440         -6         13         16     455.90      70.09     398.77      -0.70
       441         -6         13         17     520.88      63.44     448.23      -2.31
       442         -6         13         18     176.38     187.07     237.90       2.79
       443         -6         13         19     734.57      54.14     649.26      -2.18
       444         -6         14          1     505.18      33.15     457.44      -0.84
       445         -6         14          2     262.63      63.67     394.00      -1.16
       446         -6         14          3     687.34      26.54     713.35      -1.15
       447         -6         14          4     702.21      27.21     805.68       1.79
       448         -6         14          5     446.19      40.50     448.73      -1.23
       449         -6         14          6     298.24      58.45     193.44      -2.05
       450         -6         14          7     461.82      55.82     265.98      -0.83
       451         -6         14          8     230.67      76.45     194.94       1.81
       452         -6         14          9     712.25      27.93     678.95      -1.90
       453         -6         14         10     733.16      26.61     623.28       1.92
       454         -6         14         11     235.62      78.54     314.01      -0.30
       455         -6         14         12     341.59      58.60     518.74       2.61
       456         -6         14         13     398.35      81.27     404.11      -0.03
       457         -6         14         14     421.19      81.97     539.33      -0.76
       458         -6         14         15     464.71      58.67     441.72      -1.48
       459         -6         14         16     900.48      28.68     911.86      -1.97
       460         -6         14         17     294.95     108.77     328.40      -0.14
       461         -6         15          1     540.57      33.12     456.19       0.47
       462         -6         15          2     584.51      33.14     508.32      -1.80
       463         -6         15          3     263.19      66.96     238.94      -0.44
       464         -6         15          4     467.56      39.13     281.10       1.82
       465         -6         15          5     384.14      62.37     301.64      -1.24
       466         -6         15          6    1184.74      22.57    1167.17       0.70
       467         -6         15          7     698.51      46.48     790.11       0.27
       468         -6         15          8     763.22      27.23     733.21      -1.33
       469         -6         15          9     296.38      63.79     343.86       0.95
       470         -6         15         10     648.84      31.25     676.95      -1.33
       471         -6         15         11     187.55     105.08     218.07      -0.07
       472         -6         15         12     103.13     196.28     251.97      -2.68
       473         -6         15         13     668.30      33.95     691.87      -1.68
       474         -6         15         14     449.50      50.61     359.81      -2.98
       475         -6         15         15     265.15      85.94     363.11      -2.83
       476         -6         15         16     728.50      35.33     822.62      -3.01
       477         -6         16          1     449.44      43.02     541.37       0.89
       478         -6         16          2     840.28      26.49     803.24       0.77
       479         -6         16          3    1002.89      23.18     930.74      -0.41
       480         -6         16          4     820.38      26.51     796.77      -1.54
