         h          k          l       FREE         FP      SIGFP         FC       PHIC     FC_ALL   PHIC_ALL        FWT       PHWT     DELFWT    PHDELWT        FOM  FC_ALL_LS PHIC_ALL_LS         h          k          l       FREE         FP      SIGFP         FC       PHIC     FC_ALL        PHIC_ALL        FWT          PHWT       DELFWT      PHDELWT         FOM     FC_ALL_LS   PHIC_ALL_LS         h          k          l       FREE         FP      SIGFP         FC       PHIC     FC_ALL        PHIC_ALL        FWT          PHWT       DELFWT      PHDELWT         FOM     FC_ALL_LS   PHIC_ALL_LS         h          k          l       FREE         FP      SIGFP         FC       PHIC     FC_ALL   PHIC_ALL        FWT       PHWT     DELFWT    PHDELWT        FOM  FC_ALL_LS PHIC_ALL_LS         h          k          l       FREE         FP      SIGFP         FC       PHIC         h          k          l       FREE         FP      SIGFP         FC       PHIC     FC_ALL   PHIC_ALL        FWT       PHWT     DELFWT    PHDELWT        FOM  FC_ALL_LS PHIC_ALL_LS 	h 	k 	l 	FREE 	FP 	SIGFP 	FC 	PHIC 	FC_ALL 	PHIC_ALL 	FWT 	PHWT 	DELFWT 	PHDELWT 	FOM 	FC_ALL_LS 	PHIC_ALL_LS 	
114	-31  	9  	6  	1  	44.89 	4.07 	46.08 	4.10 	41.15 	4.10 	44.12 	4.10 	2.97 	4.10 	0.95 	45.81 	4.10
115	-31  	9  	7  	1  	10.68 	13.79 	8.27 	5.58 	7.37 	5.58 	5.02 	2.44 	12.38 	2.44 	0.11 	8.07 	5.57
116	-31  	9  	8  	1  	11.55 	13.35 	13.89 	3.37 	12.33 	3.37 	7.66 	0.23 	19.99 	0.23 	0.20 	14.00 	3.37
117	-30  	0  	1  	1  	28.33 	12.70 	0.50 	3.14 	0.48 	3.14 	0.73 	3.14 	0.25 	3.14 	0.02 	0.03 	6.28
118	-30  	0  	7  	1  	12.59 	35.47 	40.17 	0.00 	38.60 	6.28 	31.68 	3.14 	70.28 	3.14 	0.27 	39.94 	6.28
119	-30  	0  	8  	1  	20.39 	22.27 	40.89 	3.14 	39.31 	3.14 	11.25 	0.00 	50.56 	0.00 	0.69 	39.20 	3.14
120	-30  	0  	14  	1  	15.80 	22.41 	4.54 	0.00 	4.17 	6.28 	1.70 	3.14 	5.87 	3.14 	0.08 	4.54 	6.28
121	-30  	1  	1  	1  	26.26 	12.97 	32.94 	0.54 	31.63 	0.54 	5.47 	0.54 	26.16 	3.68 	0.71 	31.95 	0.56
122	-30  	1  	2  	1  	14.59 	19.71 	19.84 	4.96 	19.05 	4.96 	12.75 	1.82 	31.80 	1.82 	0.22 	19.94 	4.94
123	-30  	1  	3  	1  	23.04 	11.90 	46.71 	4.85 	44.83 	4.85 	8.69 	1.71 	53.52 	1.71 	0.78 	45.90 	4.85
124	-30  	1  	4  	1  	21.96 	12.21 	30.11 	3.33 	28.90 	3.33 	1.45 	0.19 	30.35 	0.19 	0.62 	29.93 	3.34
125	-30  	1  	7  	1  	77.03 	4.12 	72.58 	0.53 	69.73 	0.53 	80.72 	0.53 	10.99 	0.53 	0.98 	72.79 	0.52
126	-30  	1  	9  	1  	37.21 	8.21 	41.20 	0.57 	39.42 	0.57 	27.28 	0.57 	12.14 	3.71 	0.90 	41.61 	0.57
127	-30  	1  	10  	1  	20.21 	14.88 	73.18 	0.72 	69.23 	0.72 	35.85 	3.86 	105.08 	3.86 	0.83 	73.79 	0.72
128	-30  	1  	11  	1  	21.72 	12.84 	3.53 	0.33 	3.30 	0.33 	0.90 	0.33 	2.40 	3.47 	0.10 	3.67 	0.18
