         h          k          l       FREE         FP      SIGFP         FC       PHIC     FC_ALL   PHIC_ALL        FWT       PHWT     DELFWT    PHDELWT        FOM  FC_ALL_LS PHIC_ALL_LS         h          k          l       FREE         FP      SIGFP         FC       PHIC     FC_ALL        PHIC_ALL        FWT          PHWT       DELFWT      PHDELWT         FOM     FC_ALL_LS   PHIC_ALL_LS         h          k          l       FREE         FP      SIGFP         FC       PHIC     FC_ALL        PHIC_ALL        FWT          PHWT       DELFWT      PHDELWT         FOM     FC_ALL_LS   PHIC_ALL_LS         h          k          l       FREE         FP      SIGFP         FC       PHIC     FC_ALL   PHIC_ALL        FWT       PHWT     DELFWT    PHDELWT        FOM  FC_ALL_LS PHIC_ALL_LS         h          k          l       FREE         FP      SIGFP         FC       PHIC         h          k          l       FREE         FP      SIGFP         FC       PHIC     FC_ALL   PHIC_ALL        FWT       PHWT     DELFWT    PHDELWT        FOM  FC_ALL_LS PHIC_ALL_LS 	h 	k 	l 	FREE 	FP 	SIGFP 	FC 	PHIC 	FC_ALL 	PHIC_ALL 	FWT 	PHWT 	DELFWT 	PHDELWT 	FOM 	FC_ALL_LS 	PHIC_ALL_LS 	
7556	-16  	0  	21  	1  	48.87 	3.14 	17.46 	3.14 	16.01 	3.14 	15.10 	3.14 	0.91 	0.00 	0.32 	17.26 	3.14
7557	-16  	0  	22  	1  	38.40 	3.99 	71.07 	3.14 	66.44 	3.14 	0.17 	0.00 	66.60 	0.00 	0.86 	73.51 	3.14
7558	-16  	0  	23  	1  	54.00 	3.40 	3.25 	3.14 	3.04 	3.14 	6.15 	3.14 	3.11 	3.14 	0.09 	7.92 	3.14
7559	-16  	0  	24  	1  	75.49 	3.92 	96.84 	0.00 	91.68 	0.00 	59.24 	0.00 	32.44 	3.14 	1.00 	100.52 	0.00
7560	-16  	0  	25  	1  	97.58 	2.69 	124.29 	0.00 	119.72 	0.00 	75.44 	0.00 	44.28 	3.14 	1.00 	126.15 	0.00
7561	-16  	0  	26  	1  	100.14 	3.45 	117.16 	0.00 	112.65 	6.28 	87.62 	6.28 	25.03 	3.14 	1.00 	116.66 	6.28
7562	-16  	0  	27  	0  	161.82 	3.75 	146.22 	0.00 	143.78 	6.28 	143.78 	6.28 	0.00 	0.00 	0.00 	145.27 	6.28
7563	-16  	0  	28  	1  	16.64 	10.55 	9.71 	0.00 	9.45 	0.00 	5.51 	3.14 	14.96 	3.14 	0.12 	11.18 	0.00
7564	-16  	0  	29  	1  	33.66 	5.33 	0.73 	3.14 	0.71 	3.14 	0.81 	3.14 	0.10 	3.14 	0.02 	1.47 	6.28
7565	-16  	0  	31  	1  	62.53 	3.44 	66.77 	0.00 	63.80 	0.00 	61.26 	0.00 	2.54 	3.14 	1.00 	67.00 	0.00
7566	-16  	0  	32  	1  	27.05 	6.49 	18.69 	0.00 	17.90 	0.00 	19.80 	0.00 	1.89 	0.00 	0.70 	19.13 	0.00
7567	-16  	0  	33  	1  	32.92 	4.96 	41.90 	0.00 	39.64 	0.00 	25.82 	0.00 	13.82 	3.14 	0.99 	42.37 	0.00
7568	-16  	0  	34  	1  	13.92 	10.80 	2.32 	0.00 	2.13 	0.00 	0.34 	3.14 	2.47 	3.14 	0.06 	2.60 	0.00
7569	-16  	0  	35  	1  	4.98 	30.19 	11.56 	0.00 	10.41 	0.00 	9.99 	3.14 	20.40 	3.14 	0.04 	11.97 	0.00
7570	-16  	1  	1  	1  	338.69 	9.38 	281.80 	3.02 	284.92 	2.93 	375.59 	2.93 	90.67 	2.93 	0.98 	275.61 	2.95
7571	-16  	1  	2  	1  	296.61 	9.43 	264.61 	1.41 	262.40 	1.46 	312.35 	1.46 	49.95 	1.46 	0.97 	254.73 	1.45
7572	-16  	1  	3  	1  	581.76 	13.07 	454.38 	2.43 	483.32 	2.45 	670.19 	2.45 	186.87 	2.45 	0.99 	464.18 	2.44
7573	-16  	1  	4  	1  	266.13 	8.26 	217.83 	4.92 	197.21 	4.91 	310.96 	4.91 	113.75 	4.91 	0.95 	193.69 	4.91
7574	-16  	1  	5  	1  	305.26 	9.01 	156.05 	0.12 	177.43 	0.18 	407.03 	0.18 	229.60 	0.18 	0.96 	169.30 	0.18
7575	-16  	1  	6  	1  	195.39 	4.04 	175.42 	3.69 	169.10 	3.73 	195.43 	3.73 	26.33 	3.73 	0.93 	163.42 	3.73
7576	-16  	1  	7  	1  	79.23 	2.20 	207.82 	2.68 	165.16 	2.70 	34.89 	5.84 	200.04 	5.84 	0.82 	160.39 	2.70
7577	-16  	1  	8  	1  	112.81 	2.38 	17.17 	2.37 	46.98 	1.70 	76.22 	1.70 	29.25 	1.70 	0.55 	46.20 	1.69
7578	-16  	1  	9  	1  	532.00 	8.88 	440.30 	3.88 	445.35 	3.88 	609.59 	3.88 	164.24 	3.88 	0.99 	439.48 	3.88
7579	-16  	1  	10  	1  	281.62 	6.20 	246.16 	1.33 	241.80 	1.31 	305.22 	1.31 	63.42 	1.31 	0.97 	241.43 	1.31
7580	-16  	1  	11  	1  	183.91 	3.78 	198.03 	3.15 	176.71 	3.16 	170.05 	3.16 	6.65 	0.02 	0.94 	176.60 	3.16
7581	-16  	1  	12  	1  	119.16 	2.75 	118.43 	3.18 	123.14 	3.27 	86.69 	3.27 	36.45 	0.13 	0.88 	126.70 	3.28
7582	-16  	1  	13  	1  	127.59 	3.32 	134.19 	0.43 	132.59 	0.36 	99.60 	0.36 	32.99 	3.50 	0.91 	137.34 	0.35
7583	-16  	1  	14  	1  	255.28 	3.88 	231.24 	6.28 	223.96 	6.28 	273.54 	6.28 	49.58 	6.28 	0.97 	235.75 	6.27
7584	-16  	1  	15  	1  	85.95 	2.06 	101.61 	3.73 	96.41 	3.82 	41.17 	3.82 	55.24 	0.68 	0.80 	103.75 	3.89
7585	-16  	1  	16  	1  	93.86 	2.11 	58.59 	5.60 	53.05 	5.51 	77.61 	5.51 	24.56 	5.51 	0.70 	55.66 	5.38
7586	-16  	1  	17  	1  	40.89 	2.84 	11.62 	3.93 	7.46 	3.96 	1.36 	0.82 	8.82 	0.82 	0.07 	0.76 	5.09
7587	-16  	1  	18  	1  	157.10 	2.68 	145.14 	3.57 	135.18 	3.55 	164.92 	3.55 	29.74 	3.55 	0.96 	150.72 	3.52
7588	-16  	1  	19  	1  	55.51 	2.18 	42.96 	2.34 	41.46 	2.33 	20.20 	2.33 	21.26 	5.48 	0.56 	51.53 	2.32
7589	-16  	1  	20  	0  	85.12 	1.77 	135.48 	2.03 	121.56 	2.03 	121.56 	2.03 	0.00 	0.00 	0.00 	143.98 	2.08
7590	-16  	1  	21  	1  	181.58 	2.89 	212.81 	2.21 	195.61 	2.21 	161.48 	2.21 	34.13 	5.35 	0.98 	212.94 	2.21
7591	-16  	1  	22  	1  	100.30 	1.99 	73.56 	5.47 	68.85 	5.46 	117.00 	5.46 	48.16 	5.46 	0.93 	77.26 	5.44
7592	-16  	1  	23  	1  	81.44 	1.99 	108.01 	2.68 	100.89 	2.68 	52.21 	2.68 	48.69 	5.82 	0.94 	105.32 	2.67
7593	-16  	1  	24  	1  	34.71 	3.20 	78.38 	1.73 	74.23 	1.73 	16.88 	4.87 	91.12 	4.87 	0.83 	80.28 	1.74
7594	-16  	1  	25  	1  	79.70 	1.81 	58.74 	5.19 	56.61 	5.19 	91.41 	5.19 	34.80 	5.19 	0.93 	60.88 	5.22
7595	-16  	1  	26  	1  	135.01 	2.36 	151.86 	0.97 	146.01 	0.97 	118.39 	0.97 	27.62 	4.11 	0.98 	155.70 	0.98
7596	-16  	1  	27  	1  	77.54 	2.71 	76.74 	3.78 	75.51 	3.78 	70.86 	3.78 	4.64 	0.64 	0.94 	76.36 	3.76
7597	-16  	1  	28  	1  	68.45 	2.16 	70.32 	1.35 	68.39 	1.35 	59.25 	1.35 	9.15 	4.49 	0.93 	69.76 	1.37
7598	-16  	1  	29  	1  	103.38 	2.42 	108.83 	5.89 	105.92 	5.89 	95.89 	5.89 	10.03 	2.75 	0.98 	107.52 	5.89
7599	-16  	1  	30  	1  	106.02 	2.43 	121.43 	5.84 	117.33 	5.84 	90.87 	5.84 	26.46 	2.70 	0.98 	119.79 	5.84
7600	-16  	1  	31  	1  	40.44 	3.35 	10.11 	2.51 	9.66 	2.51 	30.06 	2.51 	20.39 	2.51 	0.49 	10.98 	2.48
7601	-16  	1  	32  	1  	41.54 	3.01 	28.62 	4.80 	27.41 	4.80 	45.05 	4.80 	17.64 	4.80 	0.87 	28.13 	4.79
7602	-16  	1  	33  	1  	35.42 	3.28 	19.79 	5.97 	18.70 	5.97 	38.60 	5.97 	19.90 	5.97 	0.81 	19.84 	6.01
7603	-16  	1  	34  	1  	14.85 	7.15 	5.78 	2.44 	5.30 	2.44 	0.12 	5.58 	5.41 	5.58 	0.17 	5.90 	2.46
7604	-16  	1  	35  	1  	17.25 	5.07 	13.10 	5.35 	11.78 	5.35 	4.60 	5.35 	7.18 	2.21 	0.47 	13.15 	5.32
7605	-16  	2  	1  	1  	215.03 	9.84 	123.69 	1.18 	145.37 	0.91 	251.16 	0.91 	105.79 	0.91 	0.92 	137.40 	0.94
7606	-16  	2  	2  	1  	487.45 	12.86 	457.86 	1.44 	510.50 	1.38 	455.04 	1.38 	55.46 	4.53 	0.99 	487.21 	1.39
7607	-16  	2  	3  	1  	106.03 	2.58 	163.16 	5.08 	125.87 	5.04 	44.64 	5.04 	81.23 	1.90 	0.80 	126.72 	5.05
7608	-16  	2  	4  	1  	269.12 	7.62 	304.27 	3.13 	313.14 	3.22 	210.39 	3.22 	102.76 	0.08 	0.97 	301.77 	3.21
7609	-16  	2  	5  	1  	226.64 	4.73 	126.63 	2.80 	132.32 	2.67 	286.46 	2.67 	154.14 	2.67 	0.92 	127.21 	2.68
7610	-16  	2  	6  	1  	269.10 	8.43 	205.09 	0.53 	235.99 	0.60 	283.89 	0.60 	47.90 	0.60 	0.97 	226.13 	0.60
7611	-16  	2  	7  	1  	258.69 	6.82 	248.93 	1.33 	247.95 	1.40 	252.45 	1.40 	4.50 	1.40 	0.97 	240.29 	1.40
7612	-16  	2  	8  	1  	225.14 	5.04 	173.90 	4.40 	179.38 	4.45 	247.78 	4.45 	68.40 	4.45 	0.95 	175.56 	4.45
7613	-16  	2  	9  	1  	439.66 	6.66 	445.18 	0.97 	440.13 	0.99 	430.15 	0.99 	9.98 	4.13 	0.99 	435.15 	0.99
7614	-16  	2  	10  	1  	329.76 	5.64 	355.57 	2.54 	356.18 	2.56 	292.49 	2.56 	63.69 	5.70 	0.98 	357.58 	2.56
7615	-16  	2  	11  	1  	123.44 	2.51 	63.94 	1.94 	69.61 	2.23 	117.32 	2.23 	47.70 	2.23 	0.76 	71.66 	2.26
7616	-16  	2  	12  	1  	390.82 	6.99 	295.91 	2.13 	286.18 	2.11 	484.07 	2.11 	197.89 	2.11 	0.99 	292.80 	2.11
7617	-16  	2  	13  	1  	254.34 	4.15 	244.60 	0.13 	241.80 	0.16 	254.82 	0.16 	13.02 	0.16 	0.98 	251.09 	0.16
7618	-16  	2  	14  	1  	88.09 	2.74 	12.95 	5.33 	16.35 	5.14 	26.42 	5.14 	10.07 	5.14 	0.24 	19.00 	5.09
7619	-16  	2  	15  	0  	268.52 	4.56 	282.16 	1.95 	262.63 	1.99 	262.63 	1.99 	0.00 	0.00 	0.00 	277.38 	2.02
7620	-16  	2  	16  	1  	266.98 	4.27 	238.00 	4.81 	224.23 	4.82 	298.63 	4.82 	74.40 	4.82 	0.98 	246.54 	4.83
7621	-16  	2  	17  	1  	291.85 	4.36 	277.56 	3.41 	257.76 	3.40 	318.01 	3.40 	60.25 	3.40 	0.99 	286.48 	3.39
7622	-16  	2  	18  	0  	69.58 	2.12 	100.43 	5.12 	92.47 	5.15 	92.47 	5.15 	0.00 	0.00 	0.00 	101.10 	5.20
7623	-16  	2  	19  	1  	223.68 	3.46 	225.49 	5.70 	206.98 	5.71 	232.04 	5.71 	25.06 	5.71 	0.98 	232.82 	5.74
7624	-16  	2  	20  	1  	256.84 	3.54 	248.02 	1.06 	221.11 	1.06 	285.23 	1.06 	64.12 	1.06 	0.99 	244.03 	1.06
7625	-16  	2  	21  	1  	127.80 	2.50 	152.41 	2.56 	140.62 	2.56 	106.82 	2.56 	33.79 	5.70 	0.97 	153.39 	2.54
7626	-16  	2  	22  	1  	57.81 	1.88 	17.89 	0.87 	17.26 	0.88 	35.18 	0.88 	17.92 	0.88 	0.45 	25.90 	0.89
7627	-16  	2  	23  	0  	53.73 	2.25 	118.49 	0.39 	110.81 	0.39 	110.81 	0.39 	0.00 	0.00 	0.00 	119.50 	0.39
7628	-16  	2  	24  	1  	126.49 	2.09 	136.23 	5.67 	129.19 	5.67 	117.69 	5.67 	11.50 	2.53 	0.98 	135.09 	5.67
7629	-16  	2  	25  	0  	61.37 	2.24 	40.22 	1.35 	38.80 	1.35 	38.80 	1.35 	0.00 	0.00 	0.00 	42.36 	1.37
7630	-16  	2  	26  	1  	100.96 	2.90 	89.86 	2.02 	86.37 	2.02 	105.68 	2.02 	19.31 	2.02 	0.95 	88.83 	2.00
7631	-16  	2  	27  	1  	48.24 	2.27 	79.52 	1.40 	78.39 	1.40 	9.80 	1.40 	68.59 	4.54 	0.91 	77.71 	1.41
7632	-16  	2  	28  	1  	97.72 	3.23 	117.63 	1.94 	114.25 	1.94 	75.70 	1.94 	38.55 	5.09 	0.97 	116.78 	1.95
7633	-16  	2  	29  	1  	61.99 	2.60 	53.19 	2.38 	51.80 	2.38 	61.85 	2.38 	10.06 	2.38 	0.92 	54.18 	2.38
7634	-16  	2  	30  	1  	62.90 	2.25 	78.51 	1.88 	75.82 	1.88 	44.02 	1.88 	31.80 	5.02 	0.95 	79.33 	1.86
7635	-16  	2  	31  	1  	61.74 	2.28 	69.02 	4.34 	65.96 	4.34 	52.34 	4.34 	13.62 	1.20 	0.96 	70.16 	4.35
7636	-16  	2  	32  	1  	43.01 	2.88 	36.20 	1.18 	34.69 	1.18 	43.28 	1.18 	8.59 	1.18 	0.91 	37.37 	1.18
7637	-16  	2  	33  	1  	64.99 	2.01 	69.78 	5.74 	65.71 	5.74 	60.99 	5.74 	4.72 	2.60 	0.97 	69.96 	5.75
7638	-16  	2  	34  	1  	50.19 	2.08 	39.09 	5.27 	35.85 	5.27 	59.58 	5.27 	23.73 	5.27 	0.95 	39.46 	5.27
7639	-16  	2  	35  	1  	34.32 	3.13 	37.35 	0.10 	33.54 	0.10 	29.72 	0.10 	3.82 	3.24 	0.92 	37.53 	0.10
7640	-16  	3  	1  	1  	429.06 	11.45 	398.16 	5.52 	436.16 	5.51 	411.45 	5.51 	24.71 	2.37 	0.99 	417.80 	5.51
7641	-16  	3  	2  	1  	366.52 	9.13 	266.57 	2.41 	311.02 	2.34 	407.32 	2.34 	96.30 	2.34 	0.98 	296.02 	2.35
7642	-16  	3  	3  	0  	51.55 	3.80 	152.66 	4.00 	178.22 	3.96 	178.22 	3.96 	0.00 	0.00 	0.00 	169.75 	3.97
7643	-16  	3  	4  	1  	405.73 	11.71 	356.82 	2.43 	357.74 	2.42 	441.13 	2.42 	83.39 	2.42 	0.98 	345.26 	2.42
7644	-16  	3  	5  	1  	163.33 	3.62 	143.21 	4.31 	153.19 	4.38 	144.47 	4.38 	8.71 	1.23 	0.91 	147.13 	4.37
7645	-16  	3  	6  	1  	393.40 	8.25 	338.84 	1.78 	353.67 	1.83 	421.21 	1.83 	67.54 	1.83 	0.98 	341.57 	1.83
7646	-16  	3  	7  	1  	228.91 	5.24 	220.43 	4.87 	217.68 	4.80 	221.01 	4.80 	3.33 	4.80 	0.96 	211.93 	4.80
7647	-16  	3  	8  	1  	213.98 	4.42 	213.00 	3.48 	209.64 	3.41 	198.84 	3.41 	10.81 	0.27 	0.95 	205.96 	3.40
7648	-16  	3  	9  	1  	172.31 	4.24 	166.04 	3.57 	163.85 	3.52 	156.09 	3.52 	7.76 	0.38 	0.93 	162.83 	3.52
7649	-16  	3  	10  	1  	406.68 	8.78 	442.42 	2.55 	448.66 	2.55 	356.17 	2.55 	92.49 	5.70 	0.99 	453.31 	2.55
7650	-16  	3  	11  	1  	235.01 	4.29 	144.17 	1.65 	148.02 	1.73 	298.09 	1.73 	150.07 	1.73 	0.95 	151.28 	1.74
7651	-16  	3  	12  	0  	309.87 	6.74 	265.03 	2.52 	271.39 	2.49 	271.39 	2.49 	0.00 	0.00 	0.00 	280.14 	2.49
7652	-16  	3  	13  	1  	98.09 	3.03 	48.04 	4.24 	49.36 	4.57 	75.91 	4.57 	26.55 	4.57 	0.64 	52.37 	4.62
7653	-16  	3  	14  	1  	186.98 	3.15 	156.46 	3.28 	158.53 	3.27 	196.75 	3.27 	38.22 	3.27 	0.95 	172.27 	3.26
7654	-16  	3  	15  	1  	48.51 	2.68 	96.48 	2.79 	85.41 	2.79 	28.07 	5.93 	113.48 	5.93 	0.59 	85.35 	2.80
7655	-16  	3  	16  	1  	247.86 	4.63 	171.28 	2.60 	159.11 	2.60 	321.50 	2.60 	162.39 	2.60 	0.97 	172.43 	2.62
7656	-16  	3  	17  	1  	64.53 	2.19 	72.97 	0.98 	70.97 	0.94 	24.90 	0.94 	46.07 	4.08 	0.74 	86.43 	0.87
7657	-16  	3  	18  	1  	126.64 	2.25 	79.94 	4.63 	74.43 	4.61 	153.07 	4.61 	78.64 	4.61 	0.90 	82.87 	4.57
7658	-16  	3  	19  	1  	62.72 	2.10 	58.57 	0.03 	52.78 	0.04 	33.99 	0.04 	18.79 	3.18 	0.69 	57.00 	0.08
7659	-16  	3  	20  	1  	68.80 	2.34 	69.01 	3.00 	61.75 	3.01 	47.30 	3.01 	14.45 	6.15 	0.79 	66.59 	3.07
7660	-16  	3  	21  	1  	259.74 	4.35 	241.98 	0.51 	224.40 	0.52 	290.31 	0.52 	65.91 	0.52 	0.99 	243.71 	0.55
7661	-16  	3  	22  	1  	156.09 	3.12 	177.35 	3.12 	165.20 	3.12 	140.93 	3.12 	24.28 	6.26 	0.98 	177.77 	3.13
7662	-16  	3  	23  	1  	67.80 	1.97 	65.59 	2.19 	61.45 	2.19 	58.05 	2.19 	3.39 	5.33 	0.88 	61.54 	2.17
7663	-16  	3  	24  	0  	73.48 	2.11 	116.96 	4.44 	111.18 	4.44 	111.18 	4.44 	0.00 	0.00 	0.00 	118.39 	4.44
7664	-16  	3  	25  	1  	77.24 	2.51 	55.99 	2.58 	53.99 	2.58 	88.07 	2.58 	34.08 	2.58 	0.92 	55.59 	2.58
7665	-16  	3  	26  	1  	83.19 	2.64 	101.35 	5.31 	97.51 	5.31 	60.06 	5.31 	37.44 	2.17 	0.95 	103.06 	5.32
7666	-16  	3  	27  	1  	85.27 	2.92 	59.79 	1.21 	59.13 	1.21 	101.03 	1.21 	41.90 	1.21 	0.94 	58.70 	1.23
7667	-16  	3  	28  	1  	47.15 	2.53 	30.52 	2.91 	29.58 	2.91 	39.86 	2.91 	10.28 	2.91 	0.74 	33.02 	2.94
7668	-16  	3  	29  	1  	26.56 	4.49 	11.71 	1.37 	11.41 	1.37 	3.65 	1.37 	7.75 	4.52 	0.28 	11.60 	1.37
7669	-16  	3  	30  	1  	55.82 	2.28 	60.94 	4.71 	58.78 	4.71 	45.26 	4.71 	13.52 	1.56 	0.93 	62.54 	4.71
7670	-16  	3  	31  	1  	78.16 	2.12 	55.45 	1.52 	53.00 	1.52 	97.05 	1.52 	44.05 	1.52 	0.96 	55.47 	1.52
7671	-16  	3  	32  	1  	68.61 	2.27 	88.91 	6.27 	85.25 	6.27 	48.94 	6.27 	36.31 	3.13 	0.98 	88.91 	6.27
7672	-16  	3  	33  	1  	34.56 	2.71 	33.86 	0.23 	31.70 	0.23 	30.26 	0.23 	1.44 	3.37 	0.90 	33.52 	0.22
7673	-16  	3  	34  	1  	24.33 	4.38 	5.46 	2.68 	5.01 	2.68 	10.31 	2.68 	5.31 	2.68 	0.31 	4.71 	2.66
7674	-16  	3  	35  	1  	30.45 	3.40 	20.32 	2.30 	18.20 	2.30 	31.84 	2.30 	13.64 	2.30 	0.82 	19.92 	2.31
7675	-16  	4  	1  	1  	478.83 	10.85 	400.57 	0.13 	416.19 	0.17 	531.01 	0.17 	114.82 	0.17 	0.99 	400.30 	0.17
7676	-16  	4  	2  	1  	174.84 	4.17 	233.63 	5.07 	239.63 	5.14 	91.78 	5.14 	147.85 	2.00 	0.95 	230.65 	5.14
7677	-16  	4  	3  	1  	524.30 	8.99 	425.31 	5.64 	465.53 	5.63 	573.81 	5.63 	108.28 	5.63 	0.99 	446.72 	5.63
7678	-16  	4  	4  	1  	406.76 	9.86 	341.08 	5.03 	344.14 	5.10 	456.95 	5.10 	112.81 	5.10 	0.98 	331.45 	5.10
7679	-16  	4  	5  	1  	377.06 	8.03 	338.25 	0.36 	371.48 	0.35 	371.32 	0.35 	0.16 	3.49 	0.98 	358.83 	0.35
7680	-16  	4  	6  	1  	287.26 	7.27 	302.02 	5.36 	275.21 	5.35 	284.18 	5.35 	8.98 	5.35 	0.97 	267.64 	5.35
7681	-16  	4  	7  	1  	115.46 	2.49 	111.97 	5.04 	112.54 	4.91 	78.46 	4.91 	34.08 	1.77 	0.83 	110.38 	4.91
7682	-16  	4  	8  	1  	178.51 	3.72 	137.85 	5.58 	126.32 	5.42 	197.99 	5.42 	71.67 	5.42 	0.91 	124.47 	5.41
7683	-16  	4  	9  	1  	149.76 	4.11 	125.24 	4.11 	120.59 	4.28 	144.92 	4.28 	24.33 	4.28 	0.89 	120.61 	4.29
7684	-16  	4  	10  	1  	420.86 	10.03 	380.52 	6.11 	361.42 	6.14 	470.03 	6.14 	108.61 	6.14 	0.99 	364.13 	6.14
7685	-16  	4  	11  	1  	164.20 	3.02 	165.23 	4.75 	157.41 	4.67 	149.32 	4.67 	8.09 	1.52 	0.93 	160.39 	4.66
7686	-16  	4  	12  	1  	53.16 	4.64 	103.02 	5.67 	105.67 	5.77 	33.42 	2.63 	139.09 	2.63 	0.68 	109.61 	5.78
7687	-16  	4  	13  	1  	73.86 	2.51 	42.50 	2.60 	46.70 	2.77 	29.05 	2.77 	17.65 	5.91 	0.51 	50.67 	2.81
7688	-16  	4  	14  	1  	159.16 	3.60 	174.22 	6.11 	157.45 	6.11 	141.93 	6.11 	15.52 	2.97 	0.94 	161.35 	6.10
7689	-16  	4  	15  	1  	154.80 	2.98 	207.69 	5.67 	195.97 	5.67 	99.69 	5.67 	96.28 	2.53 	0.95 	212.52 	5.68
7690	-16  	4  	16  	1  	122.72 	2.78 	150.76 	4.18 	139.16 	4.20 	89.72 	4.20 	49.44 	1.06 	0.93 	150.66 	4.23
7691	-16  	4  	17  	1  	265.87 	3.89 	298.18 	6.10 	272.12 	6.10 	252.42 	6.10 	19.71 	2.96 	0.99 	291.71 	6.09
7692	-16  	4  	18  	1  	50.94 	2.54 	47.95 	5.35 	46.29 	5.30 	10.11 	5.30 	36.18 	2.16 	0.55 	54.68 	5.22
7693	-16  	4  	19  	0  	152.67 	2.93 	183.73 	3.98 	165.46 	3.98 	165.46 	3.98 	0.00 	0.00 	0.00 	181.46 	3.99
7694	-16  	4  	20  	1  	125.57 	2.21 	185.66 	2.70 	167.56 	2.70 	74.94 	2.70 	92.62 	5.85 	0.97 	183.21 	2.69
7695	-16  	4  	21  	1  	96.36 	1.68 	115.37 	2.46 	107.82 	2.45 	75.84 	2.45 	31.98 	5.59 	0.95 	117.04 	2.41
7696	-16  	4  	22  	1  	296.13 	4.63 	301.44 	2.75 	280.74 	2.75 	307.92 	2.75 	27.18 	2.75 	0.99 	303.67 	2.74
7697	-16  	4  	23  	1  	61.09 	2.55 	58.16 	5.10 	54.62 	5.10 	49.60 	5.10 	5.03 	1.96 	0.85 	55.40 	5.10
7698	-16  	4  	24  	1  	178.46 	3.49 	139.57 	2.27 	133.08 	2.27 	218.30 	2.27 	85.21 	2.27 	0.98 	138.06 	2.26
7699	-16  	4  	25  	1  	88.26 	2.40 	99.29 	3.36 	95.68 	3.36 	73.60 	3.36 	22.08 	0.22 	0.96 	101.95 	3.37
7700	-16  	4  	26  	1  	55.24 	2.62 	14.89 	5.22 	14.39 	5.22 	34.95 	5.22 	20.55 	5.22 	0.45 	15.82 	5.13
7701	-16  	4  	27  	0  	45.18 	2.73 	66.76 	2.87 	65.82 	2.87 	65.82 	2.87 	0.00 	0.00 	0.00 	65.71 	2.86
7702	-16  	4  	28  	1  	65.25 	2.34 	60.59 	5.02 	58.75 	5.02 	61.07 	5.02 	2.32 	5.02 	0.92 	63.67 	5.01
7703	-16  	4  	29  	1  	35.32 	3.34 	53.65 	5.18 	52.17 	5.18 	8.04 	5.18 	44.13 	2.04 	0.85 	54.33 	5.17
7704	-16  	4  	30  	1  	33.37 	3.42 	31.22 	0.61 	30.07 	0.61 	20.10 	0.61 	9.96 	3.75 	0.75 	30.93 	0.65
7705	-16  	4  	31  	1  	27.04 	4.54 	37.40 	0.51 	35.76 	0.51 	7.72 	0.51 	28.04 	3.65 	0.80 	37.78 	0.52
7706	-16  	4  	32  	1  	59.86 	1.95 	45.29 	6.17 	43.46 	6.17 	70.42 	6.17 	26.96 	6.17 	0.95 	44.95 	6.19
7707	-16  	4  	33  	1  	29.08 	3.72 	25.09 	6.07 	23.31 	6.07 	24.41 	6.07 	1.10 	6.07 	0.82 	24.56 	6.08
7708	-16  	4  	34  	1  	30.68 	3.43 	31.92 	5.34 	29.29 	5.34 	25.90 	5.34 	3.39 	2.20 	0.90 	32.23 	5.33
7709	-16  	4  	35  	1  	24.93 	3.75 	26.91 	2.11 	24.01 	2.11 	17.52 	2.11 	6.48 	5.25 	0.83 	26.82 	2.12
7710	-16  	5  	1  	1  	189.57 	12.90 	87.08 	5.48 	78.21 	5.72 	240.27 	5.72 	162.06 	5.72 	0.84 	75.84 	5.71
7711	-16  	5  	2  	1  	291.99 	9.45 	278.21 	3.28 	263.61 	3.31 	304.24 	3.31 	40.63 	3.31 	0.97 	255.39 	3.31
7712	-16  	5  	3  	1  	54.24 	3.68 	137.78 	4.11 	139.48 	4.16 	66.79 	1.02 	206.27 	1.02 	0.67 	135.14 	4.16
7713	-16  	5  	4  	0  	149.85 	4.91 	177.19 	2.31 	206.84 	2.44 	206.84 	2.44 	0.00 	0.00 	0.00 	200.91 	2.44
7714	-16  	5  	5  	1  	259.10 	5.09 	258.83 	0.09 	274.15 	0.12 	229.03 	0.12 	45.12 	3.27 	0.97 	267.67 	0.13
7715	-16  	5  	6  	1  	172.07 	3.30 	180.55 	1.72 	177.16 	1.74 	143.62 	1.74 	33.54 	4.88 	0.93 	173.77 	1.74
7716	-16  	5  	7  	1  	292.24 	7.64 	229.41 	3.09 	248.58 	3.06 	319.71 	3.06 	71.13 	3.06 	0.97 	247.16 	3.06
7717	-16  	5  	8  	1  	105.64 	3.06 	178.94 	1.56 	193.83 	1.56 	3.54 	4.70 	197.38 	4.70 	0.90 	195.28 	1.56
7718	-16  	5  	9  	1  	289.73 	6.14 	274.09 	2.01 	278.10 	2.00 	287.86 	2.00 	9.76 	2.00 	0.98 	281.58 	2.00
7719	-16  	5  	10  	1  	403.53 	7.12 	279.16 	6.14 	286.18 	6.16 	508.74 	6.16 	222.56 	6.16 	0.98 	292.59 	6.17
7720	-16  	5  	11  	1  	339.65 	7.84 	226.33 	1.60 	224.16 	1.62 	440.90 	1.62 	216.74 	1.62 	0.98 	230.60 	1.62
7721	-16  	5  	13  	1  	182.20 	4.29 	152.35 	4.96 	140.57 	4.98 	202.63 	4.98 	62.06 	4.98 	0.94 	145.62 	4.99
7722	-16  	5  	14  	1  	98.57 	2.47 	121.64 	6.26 	114.75 	6.23 	54.87 	6.23 	59.87 	3.09 	0.86 	122.65 	6.20
