         h          k          l       FREE         FP      SIGFP      FCalc    PHICalc         h          k          l       FREE         FP      SIGFP      FCalc    PHICalc         h          k          l       FREE         FP      SIGFP      FCalc    PHICalc         h          k          l       FREE         FP      SIGFP      FCalc    PHICalc         h          k          l       FREE         FP      SIGFP      FCalc    PHICalc         h          k          l       FREE         FP      SIGFP      FCalc    PHICalc 	h 	k 	l 	FP 	SIGFP 	FCalc 	PHICalc 	
1707	-6  	7  	2  	16.14 	4.28 	12.46 	0.44
1708	-6  	7  	3  	12.47 	5.91 	45.92 	-2.39
1709	-6  	7  	4  	14.06 	4.90 	46.81 	1.91
1710	-6  	7  	5  	12.38 	4.56 	23.32 	1.39
1711	-6  	7  	6  	30.85 	6.49 	9.61 	0.69
1712	-6  	7  	7  	23.95 	9.39 	32.46 	-1.61
1713	-6  	7  	8  	13.23 	4.52 	26.57 	-1.99
1714	-6  	7  	10  	25.37 	10.92 	14.80 	-1.42
1715	-6  	7  	12  	15.03 	6.40 	17.84 	0.75
1716	-6  	8  	1  	248.35 	2.62 	226.57 	-1.83
1717	-6  	8  	2  	73.84 	1.96 	64.31 	-0.20
1718	-6  	8  	3  	46.54 	1.30 	88.23 	0.28
1719	-6  	8  	4  	88.84 	1.62 	80.22 	0.52
1720	-6  	8  	5  	33.60 	2.58 	72.26 	1.67
1721	-6  	8  	6  	124.00 	1.29 	77.85 	-3.06
1722	-6  	8  	7  	63.90 	2.25 	72.22 	2.25
1723	-6  	8  	8  	92.53 	1.60 	79.26 	-2.61
1724	-6  	8  	9  	63.55 	0.64 	66.33 	1.68
1725	-6  	8  	10  	32.50 	1.91 	27.07 	-0.35
1726	-6  	8  	11  	80.75 	1.27 	73.61 	-1.81
1727	-6  	8  	12  	25.07 	1.27 	22.54 	-1.31
1728	-6  	8  	13  	31.36 	1.58 	55.96 	0.21
1729	-6  	8  	14  	25.62 	2.21 	34.27 	-0.03
1730	-6  	9  	1  	28.61 	12.35 	5.01 	-2.05
1731	-6  	9  	2  	18.78 	4.21 	29.10 	1.12
1732	-6  	9  	3  	20.96 	4.19 	29.18 	0.51
1733	-6  	9  	5  	14.73 	2.56 	9.99 	-1.21
1734	-6  	9  	6  	13.08 	2.87 	19.19 	-0.62
1735	-6  	9  	7  	17.82 	5.73 	17.08 	-2.25
1736	-6  	9  	8  	14.28 	4.44 	15.64 	-0.48
1737	-6  	9  	9  	12.02 	5.06 	12.76 	-0.13
1738	-6  	9  	11  	17.64 	6.30 	21.11 	0.51
1739	-6  	10  	1  	190.16 	1.93 	146.40 	1.63
1740	-6  	10  	2  	137.78 	1.92 	102.11 	-2.69
1741	-6  	10  	3  	102.77 	1.60 	65.84 	-1.01
1742	-6  	10  	4  	61.69 	1.91 	58.93 	0.19
1743	-6  	10  	5  	107.11 	2.85 	71.47 	1.90
1744	-6  	10  	6  	110.55 	2.53 	106.30 	-2.90
1745	-6  	10  	7  	136.04 	1.26 	95.09 	-2.56
1746	-6  	10  	8  	70.03 	1.88 	74.53 	-2.51
1747	-6  	10  	9  	104.29 	2.19 	87.81 	-0.23
1748	-6  	10  	10  	28.75 	3.44 	17.53 	0.74
1749	-6  	10  	11  	13.41 	2.18 	17.46 	1.80
1750	-6  	10  	12  	37.03 	2.18 	23.78 	-2.41
1751	-6  	11  	1  	37.22 	10.82 	21.97 	0.05
1752	-6  	11  	2  	14.26 	7.29 	27.65 	0.47
1753	-6  	11  	3  	32.82 	14.20 	21.31 	2.57
1754	-6  	11  	4  	40.24 	9.12 	25.19 	2.57
1755	-6  	11  	5  	17.86 	4.39 	26.58 	1.78
1756	-6  	11  	7  	13.39 	2.80 	18.90 	-1.09
1757	-6  	11  	9  	13.32 	4.34 	22.42 	0.66
1758	-6  	12  	1  	51.53 	1.89 	42.89 	-2.73
1759	-6  	12  	2  	63.83 	1.25 	60.73 	1.56
1760	-6  	12  	3  	59.53 	0.62 	33.08 	-1.25
1761	-6  	12  	4  	67.69 	1.24 	46.69 	2.59
1762	-6  	12  	5  	53.22 	1.24 	32.53 	0.87
1763	-6  	12  	6  	57.06 	1.54 	44.73 	-2.86
1764	-6  	12  	7  	44.28 	1.54 	27.97 	-0.72
1765	-6  	12  	8  	31.89 	1.53 	52.48 	-1.02
1766	-6  	12  	9  	79.82 	1.22 	81.84 	-1.95
1767	-6  	12  	10  	45.46 	3.36 	35.34 	-2.80
1768	-6  	12  	11  	15.22 	2.74 	16.58 	2.73
1769	-6  	12  	12  	34.33 	1.22 	32.14 	1.88
1770	-6  	13  	2  	17.29 	5.56 	32.87 	2.97
1771	-6  	13  	3  	19.37 	4.00 	12.23 	-1.94
1772	-6  	13  	10  	10.84 	4.82 	8.40 	0.29
1773	-6  	13  	11  	13.52 	4.81 	9.22 	-2.77
1774	-6  	14  	1  	22.61 	2.75 	25.40 	1.82
1775	-6  	14  	3  	60.00 	1.52 	35.98 	0.75
1776	-6  	14  	4  	21.74 	3.32 	17.47 	0.90
1777	-6  	14  	5  	36.71 	1.50 	39.46 	-2.99
1778	-6  	14  	6  	35.69 	2.10 	33.80 	1.10
1779	-6  	14  	8  	30.11 	2.09 	31.25 	0.15
1780	-6  	14  	10  	33.52 	1.19 	46.00 	-1.37
1781	-6  	14  	11  	35.22 	2.66 	52.46 	-2.31
1782	-6  	15  	6  	15.94 	4.72 	16.50 	-1.22
1783	-6  	16  	1  	23.36 	3.25 	25.66 	2.36
1784	-6  	16  	2  	31.22 	2.06 	14.64 	3.01
1785	-6  	16  	3  	40.19 	2.64 	43.36 	1.31
1786	-6  	16  	4  	36.24 	2.05 	25.11 	2.54
1787	-6  	16  	5  	32.91 	2.04 	56.15 	-2.32
1788	-6  	16  	6  	34.55 	2.03 	54.97 	-1.20
1789	-6  	17  	1  	14.53 	3.20 	15.33 	-1.86
1790	-6  	17  	4  	12.35 	5.74 	14.73 	0.16
1791	-6  	17  	7  	12.79 	5.69 	4.56 	1.24
1792	-6  	18  	2  	19.30 	3.12 	31.41 	-2.14
1793	-6  	18  	3  	16.68 	3.96 	3.72 	1.67
1794	-5  	0  	9  	19.63 	2.99 	21.50 	3.14
1795	-5  	0  	10  	14.95 	6.64 	8.84 	3.14
1796	-5  	0  	14  	8.27 	2.98 	21.26 	3.14
1797	-5  	1  	1  	344.07 	5.43 	445.58 	-1.91
1798	-5  	1  	2  	147.59 	2.71 	106.47 	-1.34
1799	-5  	1  	3  	19.91 	3.04 	80.56 	0.14
1800	-5  	1  	4  	59.21 	0.67 	71.53 	1.94
1801	-5  	1  	5  	33.55 	0.67 	55.54 	1.30
1802	-5  	1  	6  	18.07 	1.67 	59.21 	2.51
1803	-5  	1  	7  	144.25 	6.68 	165.96 	0.33
1804	-5  	1  	8  	677.08 	5.33 	613.43 	0.30
1805	-5  	1  	9  	768.62 	12.64 	671.81 	-2.19
1806	-5  	1  	10  	101.94 	9.30 	85.28 	2.93
1807	-5  	1  	11  	35.81 	6.63 	33.13 	-2.78
1808	-5  	1  	12  	14.90 	2.32 	25.45 	-1.59
1809	-5  	1  	13  	95.28 	7.61 	100.49 	-0.36
1810	-5  	1  	14  	43.31 	14.22 	58.22 	-0.06
1811	-5  	1  	15  	34.36 	1.65 	16.24 	-2.77
1812	-5  	2  	1  	25.09 	6.78 	69.87 	2.66
1813	-5  	2  	3  	8.42 	1.35 	56.42 	-0.13
1814	-5  	2  	4  	13.44 	2.02 	19.43 	0.85
1815	-5  	2  	5  	8.37 	1.34 	19.19 	-2.18
1816	-5  	2  	6  	5.68 	2.00 	18.83 	-0.88
1817	-5  	2  	8  	9.98 	2.00 	5.24 	0.41
1818	-5  	2  	9  	13.61 	3.98 	20.11 	-0.94
1819	-5  	2  	10  	17.90 	6.63 	24.16 	-0.69
1820	-5  	2  	11  	23.17 	2.98 	20.32 	-2.41
1821	-5  	2  	12  	14.22 	2.31 	18.34 	2.80
1822	-5  	2  	14  	10.56 	2.31 	14.80 	0.09
1823	-5  	2  	15  	7.59 	2.97 	16.37 	0.45
1824	-5  	3  	1  	448.43 	7.78 	474.04 	-2.01
1825	-5  	3  	2  	328.28 	5.06 	320.07 	2.98
1826	-5  	3  	3  	205.95 	2.69 	163.01 	1.29
1827	-5  	3  	4  	52.93 	0.67 	63.89 	-1.56
1828	-5  	3  	5  	150.33 	2.34 	179.36 	2.72
1829	-5  	3  	6  	13.66 	1.33 	62.48 	-0.24
1830	-5  	3  	7  	322.82 	4.32 	347.69 	-1.29
1831	-5  	3  	8  	596.53 	9.62 	500.58 	-1.62
1832	-5  	3  	9  	546.07 	5.63 	510.56 	2.71
1833	-5  	3  	10  	110.75 	3.97 	87.61 	0.84
1834	-5  	3  	11  	82.53 	1.32 	83.21 	-0.80
1835	-5  	3  	12  	46.82 	2.31 	47.67 	1.94
1836	-5  	3  	13  	56.33 	2.96 	50.43 	-2.68
1837	-5  	3  	14  	28.97 	2.30 	19.13 	-0.08
1838	-5  	3  	15  	36.19 	2.30 	46.47 	1.91
1839	-5  	4  	2  	12.09 	3.02 	32.57 	1.97
1840	-5  	4  	3  	24.77 	6.69 	31.56 	1.53
1841	-5  	4  	4  	19.69 	8.34 	29.20 	0.92
1842	-5  	4  	5  	23.30 	5.32 	35.61 	-2.36
1843	-5  	4  	7  	19.54 	2.98 	21.95 	-0.02
1844	-5  	4  	8  	19.50 	8.26 	47.50 	-1.45
1845	-5  	4  	9  	13.53 	2.97 	10.74 	-1.08
1846	-5  	4  	11  	25.98 	6.58 	11.61 	-0.78
1847	-5  	4  	12  	9.53 	4.60 	19.44 	1.25
1848	-5  	4  	14  	8.85 	3.61 	5.03 	-2.94
1849	-5  	5  	1  	246.76 	6.03 	263.17 	0.42
1850	-5  	5  	2  	326.12 	4.01 	289.60 	0.41
1851	-5  	5  	3  	124.57 	1.33 	128.15 	3.02
1852	-5  	5  	4  	291.25 	2.66 	246.52 	2.56
1853	-5  	5  	5  	450.75 	6.29 	370.11 	2.36
1854	-5  	5  	6  	220.02 	2.97 	202.69 	1.77
1855	-5  	5  	7  	363.88 	3.30 	315.69 	0.13
1856	-5  	5  	8  	140.78 	2.30 	156.68 	-1.14
1857	-5  	5  	9  	90.28 	1.64 	83.85 	-2.86
1858	-5  	5  	10  	55.39 	0.66 	47.10 	-2.60
1859	-5  	5  	11  	70.37 	0.65 	85.69 	2.75
1860	-5  	5  	12  	11.11 	3.60 	20.23 	-0.20
1861	-5  	5  	13  	35.92 	1.63 	42.46 	0.24
1862	-5  	5  	14  	27.08 	0.65 	32.35 	-0.72
1863	-5  	5  	15  	8.81 	4.24 	5.37 	-3.01
1864	-5  	6  	1  	14.33 	5.00 	16.77 	2.47
1865	-5  	6  	2  	25.58 	4.98 	20.47 	-2.06
1866	-5  	6  	4  	24.43 	9.57 	8.98 	2.27
1867	-5  	6  	5  	11.85 	4.61 	33.82 	2.69
1868	-5  	6  	7  	14.09 	5.24 	64.86 	0.42
1869	-5  	6  	14  	19.79 	4.54 	16.46 	1.05
1870	-5  	7  	1  	194.27 	1.99 	195.65 	-1.86
1871	-5  	7  	2  	371.06 	2.31 	355.06 	3.09
1872	-5  	7  	3  	16.77 	2.96 	44.80 	2.45
1873	-5  	7  	4  	27.86 	1.31 	35.35 	2.14
1874	-5  	7  	5  	43.81 	1.96 	34.33 	0.41
1875	-5  	7  	6  	27.72 	1.96 	57.98 	2.42
1876	-5  	7  	7  	283.38 	3.90 	238.32 	-2.72
1877	-5  	7  	8  	206.17 	2.92 	189.58 	-1.92
1878	-5  	7  	9  	153.93 	4.54 	120.76 	-0.71
1879	-5  	7  	10  	71.83 	0.65 	100.44 	-0.10
1880	-5  	7  	11  	31.34 	1.62 	26.22 	0.44
1881	-5  	7  	12  	21.94 	0.65 	32.89 	-2.57
1882	-5  	7  	13  	16.12 	1.61 	27.45 	1.39
1883	-5  	7  	14  	14.50 	2.25 	12.59 	2.95
1884	-5  	8  	1  	31.19 	11.16 	11.87 	-0.37
1885	-5  	8  	2  	14.07 	5.89 	29.63 	-1.73
1886	-5  	8  	3  	25.76 	9.46 	40.72 	-0.03
1887	-5  	8  	5  	14.27 	4.54 	23.33 	-2.61
1888	-5  	8  	8  	12.56 	2.90 	15.52 	2.49
1889	-5  	9  	1  	101.16 	2.60 	96.83 	-0.90
1890	-5  	9  	2  	215.90 	2.59 	188.75 	0.71
1891	-5  	9  	3  	96.62 	1.29 	105.80 	-3.08
1892	-5  	9  	4  	216.84 	2.58 	175.14 	-3.07
1893	-5  	9  	5  	99.93 	1.29 	88.47 	-2.93
1894	-5  	9  	6  	103.84 	1.92 	102.91 	0.67
1895	-5  	9  	7  	138.78 	2.88 	91.43 	2.39
1896	-5  	9  	8  	118.07 	2.23 	75.04 	-1.71
1897	-5  	9  	9  	54.47 	3.50 	41.47 	-1.08
1898	-5  	9  	10  	43.56 	2.23 	35.33 	-2.64
1899	-5  	9  	11  	13.02 	2.22 	15.39 	2.90
1900	-5  	9  	12  	50.11 	2.85 	51.66 	1.93
1901	-5  	9  	13  	33.58 	1.58 	20.67 	2.23
1902	-5  	9  	14  	12.03 	3.48 	12.45 	0.04
1903	-5  	10  	1  	39.92 	10.95 	32.16 	-0.86
1904	-5  	10  	2  	37.54 	10.91 	41.91 	-2.58
1905	-5  	10  	5  	15.90 	5.72 	15.62 	2.27
1906	-5  	10  	8  	15.16 	4.74 	13.35 	-0.55
1907	-5  	10  	10  	12.90 	4.41 	19.69 	-0.65
1908	-5  	10  	11  	12.89 	2.83 	6.82 	2.15
1909	-5  	10  	12  	14.75 	3.45 	23.22 	-0.28
1910	-5  	11  	1  	102.82 	1.27 	81.25 	-1.12
1911	-5  	11  	2  	176.70 	2.54 	164.56 	-2.69
1912	-5  	11  	3  	106.26 	1.26 	73.94 	2.87
1913	-5  	11  	4  	45.40 	2.84 	63.82 	-0.97
1914	-5  	11  	5  	113.20 	2.83 	83.14 	1.84
1915	-5  	11  	6  	66.49 	1.25 	31.73 	-1.15
1916	-5  	11  	7  	31.61 	1.25 	47.65 	-1.77
1917	-5  	11  	8  	39.35 	2.19 	49.97 	-2.43
1918	-5  	11  	9  	47.07 	1.56 	46.81 	-0.37
1919	-5  	11  	10  	14.63 	2.80 	8.37 	-1.00
1920	-5  	11  	11  	43.50 	2.18 	45.44 	-3.03
1921	-5  	11  	12  	43.45 	2.17 	60.12 	-2.21
1922	-5  	11  	13  	28.53 	0.62 	12.35 	-1.58
1923	-5  	12  	2  	14.73 	5.64 	26.36 	-2.32
1924	-5  	12  	3  	30.92 	11.87 	19.79 	1.52
1925	-5  	12  	4  	14.01 	5.61 	18.99 	1.51
1926	-5  	12  	6  	16.73 	4.03 	18.76 	-2.84
1927	-5  	12  	8  	14.50 	2.78 	4.13 	-0.65
1928	-5  	12  	9  	16.62 	4.00 	13.58 	-1.37
1929	-5  	12  	12  	14.41 	4.90 	15.13 	-3.14
1930	-5  	13  	1  	120.03 	2.17 	107.16 	-0.20
1931	-5  	13  	2  	54.09 	1.24 	51.53 	0.71
1932	-5  	13  	3  	76.73 	1.23 	96.02 	-1.37
1933	-5  	13  	4  	85.10 	3.38 	102.81 	-3.07
1934	-5  	13  	5  	62.81 	2.76 	72.15 	2.39
1935	-5  	13  	6  	110.63 	1.53 	88.73 	-2.73
1936	-5  	13  	7  	67.39 	1.52 	91.70 	-1.76
1937	-5  	13  	8  	28.91 	1.52 	25.23 	-1.61
1938	-5  	13  	9  	37.66 	1.52 	35.45 	2.19
1939	-5  	13  	10  	31.53 	1.52 	32.19 	1.67
1940	-5  	13  	11  	14.23 	4.24 	20.84 	0.25
1941	-5  	14  	11  	20.29 	3.28 	3.30 	0.97
1942	-5  	15  	1  	77.33 	1.50 	72.10 	-1.83
1943	-5  	15  	2  	19.49 	2.70 	9.32 	0.98
1944	-5  	15  	3  	31.69 	2.69 	29.92 	1.16
1945	-5  	15  	4  	37.56 	2.09 	46.90 	-0.52
1946	-5  	15  	6  	48.03 	1.48 	60.96 	1.75
1947	-5  	15  	7  	23.37 	3.25 	15.14 	-0.00
1948	-5  	15  	8  	50.48 	1.48 	63.69 	-1.97
1949	-5  	15  	10  	29.71 	1.47 	52.21 	2.39
1950	-5  	16  	2  	12.68 	5.90 	4.78 	2.88
1951	-5  	16  	3  	14.70 	5.29 	8.19 	0.53
1952	-5  	17  	1  	36.63 	2.03 	30.71 	1.55
1953	-5  	17  	2  	39.11 	2.03 	41.62 	-0.39
1954	-5  	17  	3  	39.56 	1.44 	37.84 	-1.08
1955	-5  	17  	5  	23.83 	2.58 	11.29 	2.60
1956	-5  	18  	1  	14.26 	5.13 	6.39 	-2.56
1957	-4  	0  	2  	541.97 	12.89 	870.14 	3.14
1958	-4  	0  	3  	29.77 	0.68 	65.63 	0.00
1959	-4  	0  	4  	4.05 	0.68 	12.90 	0.00
1960	-4  	0  	7  	55.74 	1.34 	52.78 	0.00
1961	-4  	0  	8  	513.74 	51.31 	484.43 	3.14
1962	-4  	0  	9  	441.82 	9.38 	407.19 	0.00
1963	-4  	0  	10  	21.75 	2.34 	24.06 	0.00
1964	-4  	0  	12  	20.39 	1.67 	45.03 	0.00
1965	-4  	0  	13  	12.70 	3.01 	19.54 	0.00
1966	-4  	0  	14  	35.42 	1.67 	40.92 	0.00
1967	-4  	0  	15  	21.73 	2.34 	32.55 	0.00
1968	-4  	1  	1  	11.56 	3.74 	99.84 	2.30
1969	-4  	1  	2  	9.83 	2.03 	28.81 	-0.62
1970	-4  	1  	3  	11.50 	5.41 	88.73 	-1.24
1971	-4  	1  	5  	12.12 	0.67 	17.36 	2.31
1972	-4  	1  	6  	6.05 	2.35 	12.49 	-0.97
1973	-4  	1  	7  	12.75 	6.71 	20.22 	-2.92
1974	-4  	1  	10  	12.71 	2.68 	18.36 	-2.34
1975	-4  	1  	11  	8.36 	3.68 	44.59 	-2.39
1976	-4  	1  	13  	12.02 	1.67 	13.33 	0.06
1977	-4  	1  	14  	10.69 	3.01 	17.69 	-0.10
1978	-4  	1  	15  	9.02 	3.67 	4.32 	0.17
1979	-4  	2  	1  	168.64 	4.75 	196.19 	-2.95
1980	-4  	2  	2  	185.79 	1.35 	201.04 	0.81
1981	-4  	2  	3  	58.07 	3.71 	173.90 	-0.29
1982	-4  	2  	4  	42.44 	0.67 	90.01 	-1.97
1983	-4  	2  	5  	74.97 	1.34 	106.99 	0.50
1984	-4  	2  	6  	88.93 	1.01 	103.27 	1.88
1985	-4  	2  	7  	143.41 	2.01 	153.59 	-2.61
1986	-4  	2  	8  	533.72 	8.37 	491.58 	1.48
1987	-4  	2  	9  	305.50 	7.02 	264.72 	-0.53
1988	-4  	2  	10  	70.13 	2.00 	68.75 	0.29
1989	-4  	2  	11  	94.77 	7.68 	62.58 	2.75
1990	-4  	2  	12  	69.05 	8.34 	65.42 	-2.48
1991	-4  	2  	13  	75.70 	10.67 	90.16 	0.39
1992	-4  	2  	14  	40.68 	1.67 	40.75 	1.22
1993	-4  	2  	15  	23.35 	7.67 	25.26 	-2.55
1994	-4  	3  	1  	16.92 	2.37 	67.04 	1.31
1995	-4  	3  	2  	18.23 	6.75 	41.84 	-0.53
1996	-4  	3  	3  	11.11 	2.02 	58.18 	-0.42
1997	-4  	3  	4  	8.40 	1.34 	9.08 	0.44
1998	-4  	3  	5  	8.38 	1.68 	5.02 	1.26
1999	-4  	3  	8  	10.68 	3.67 	53.85 	-2.08
2000	-4  	3  	10  	8.99 	3.66 	43.83 	0.32
2001	-4  	3  	13  	13.64 	5.99 	26.17 	0.87
2002	-4  	3  	15  	13.64 	3.66 	12.26 	1.72
2003	-4  	4  	1  	346.90 	2.70 	354.55 	-0.20
2004	-4  	4  	2  	524.52 	5.04 	534.77 	-2.22
2005	-4  	4  	3  	347.49 	5.70 	383.03 	2.89
2006	-4  	4  	4  	240.30 	2.68 	295.04 	2.45
2007	-4  	4  	5  	269.55 	1.34 	254.25 	-1.95
2008	-4  	4  	6  	233.06 	3.67 	200.41 	-0.44
2009	-4  	4  	7  	242.68 	2.33 	192.07 	2.21
2010	-4  	4  	8  	167.56 	3.32 	184.94 	1.08
2011	-4  	4  	9  	172.68 	2.66 	123.51 	1.42
2012	-4  	4  	10  	131.39 	2.32 	144.28 	1.66
2013	-4  	4  	11  	16.91 	2.65 	11.71 	2.08
2014	-4  	4  	13  	23.19 	4.31 	51.49 	-2.54
2015	-4  	4  	14  	11.26 	3.64 	33.98 	3.05
2016	-4  	4  	15  	18.56 	1.66 	20.30 	3.05
2017	-4  	5  	2  	12.71 	3.35 	21.79 	0.73
2018	-4  	5  	3  	15.69 	3.00 	17.10 	2.13
2019	-4  	5  	4  	15.99 	4.66 	53.29 	0.62
2020	-4  	5  	5  	10.64 	2.33 	18.30 	-1.91
2021	-4  	5  	6  	10.62 	3.65 	53.67 	-0.56
2022	-4  	5  	9  	20.82 	8.26 	9.41 	-0.07
2023	-4  	5  	10  	14.20 	3.63 	26.64 	2.12
2024	-4  	5  	13  	16.49 	5.28 	25.90 	-3.02
2025	-4  	6  	1  	217.44 	2.67 	232.76 	0.64
2026	-4  	6  	2  	170.30 	3.33 	206.08 	0.64
2027	-4  	6  	3  	68.02 	1.66 	79.11 	0.84
2028	-4  	6  	4  	215.53 	2.65 	164.23 	-2.20
2029	-4  	6  	5  	222.70 	1.98 	210.74 	-0.78
2030	-4  	6  	6  	327.52 	5.94 	297.73 	-0.78
2031	-4  	6  	7  	148.85 	1.65 	171.58 	-1.22
2032	-4  	6  	8  	223.97 	3.95 	181.28 	-1.08
2033	-4  	6  	9  	65.05 	1.64 	89.79 	-0.88
2034	-4  	6  	10  	94.20 	3.28 	73.95 	1.71
2035	-4  	6  	11  	40.67 	1.64 	36.77 	-1.30
2036	-4  	6  	12  	97.37 	1.64 	89.77 	-0.28
2037	-4  	6  	13  	19.34 	2.95 	4.60 	-2.46
2038	-4  	6  	14  	14.09 	4.59 	4.40 	-2.39
2039	-4  	7  	1  	17.88 	2.32 	19.72 	-2.82
2040	-4  	7  	2  	19.82 	3.63 	24.32 	-2.38
2041	-4  	7  	3  	16.47 	3.29 	20.36 	2.41
2042	-4  	7  	4  	13.48 	2.30 	27.88 	-2.86
2043	-4  	7  	5  	32.48 	8.20 	34.27 	1.39
2044	-4  	7  	6  	18.34 	2.95 	33.94 	0.91
2045	-4  	7  	7  	12.43 	5.23 	64.24 	0.43
2046	-4  	7  	8  	13.06 	4.90 	7.01 	-1.28
2047	-4  	7  	9  	28.71 	6.52 	28.26 	1.01
2048	-4  	7  	10  	36.83 	11.08 	23.94 	2.02
2049	-4  	7  	11  	11.07 	4.56 	10.58 	1.78
2050	-4  	7  	12  	11.07 	4.56 	15.65 	1.31
2051	-4  	8  	1  	256.22 	2.63 	258.03 	-1.26
2052	-4  	8  	2  	230.32 	1.97 	200.85 	-2.30
2053	-4  	8  	3  	85.96 	2.61 	81.63 	0.05
2054	-4  	8  	4  	85.44 	1.30 	114.74 	-1.48
2055	-4  	8  	5  	112.93 	2.28 	65.98 	-0.67
2056	-4  	8  	6  	43.86 	1.30 	24.24 	1.12
2057	-4  	8  	7  	67.47 	1.62 	55.57 	-1.77
2058	-4  	8  	8  	80.66 	1.94 	82.06 	0.83
2059	-4  	8  	9  	116.81 	1.29 	114.76 	2.12
2060	-4  	8  	10  	36.53 	2.26 	10.33 	0.94
2061	-4  	8  	11  	34.24 	3.55 	16.52 	0.61
2062	-4  	8  	13  	37.13 	2.26 	20.29 	-0.51
2063	-4  	8  	14  	25.50 	5.17 	34.32 	-0.34
2064	-4  	9  	5  	17.41 	4.19 	22.59 	-1.77
2065	-4  	9  	6  	36.38 	9.34 	32.36 	1.67
2066	-4  	9  	8  	41.08 	8.02 	36.51 	1.34
2067	-4  	9  	11  	15.04 	5.76 	22.43 	-0.92
2068	-4  	9  	13  	10.88 	4.48 	12.18 	-1.90
2069	-4  	10  	1  	93.10 	1.61 	115.03 	1.60
2070	-4  	10  	2  	71.65 	1.29 	99.11 	1.43
2071	-4  	10  	3  	84.30 	2.24 	76.38 	0.05
2072	-4  	10  	4  	29.42 	3.52 	36.81 	2.20
2073	-4  	10  	5  	152.25 	1.60 	161.09 	-2.55
2074	-4  	10  	6  	85.39 	3.19 	79.03 	-2.27
2075	-4  	10  	7  	20.68 	3.50 	8.89 	0.95
2076	-4  	10  	8  	32.72 	2.22 	38.43 	-0.53
2077	-4  	10  	9  	59.98 	2.22 	47.59 	0.47
2078	-4  	10  	10  	25.68 	2.85 	24.40 	2.25
2079	-4  	10  	11  	44.36 	2.22 	48.29 	-2.89
2080	-4  	10  	13  	27.86 	2.22 	9.92 	-1.04
2081	-4  	11  	2  	17.15 	4.13 	25.91 	-2.42
2082	-4  	11  	3  	19.33 	5.07 	19.73 	1.96
2083	-4  	11  	5  	14.20 	6.31 	19.06 	-2.67
2084	-4  	11  	6  	18.59 	4.41 	15.75 	-1.28
2085	-4  	11  	7  	16.04 	4.72 	12.67 	1.08
2086	-4  	11  	9  	15.69 	2.82 	19.95 	-3.12
2087	-4  	11  	12  	15.66 	3.44 	8.95 	1.83
2088	-4  	12  	1  	124.58 	1.26 	107.88 	1.89
2089	-4  	12  	2  	66.83 	0.63 	70.48 	-1.74
2090	-4  	12  	3  	47.89 	1.56 	85.08 	0.03
2091	-4  	12  	4  	110.24 	2.19 	69.69 	-0.68
2092	-4  	12  	5  	47.69 	1.56 	39.50 	-2.29
2093	-4  	12  	6  	29.56 	1.24 	30.76 	-1.47
2094	-4  	12  	7  	60.89 	0.62 	80.53 	-0.91
2095	-4  	12  	8  	46.84 	1.55 	71.68 	-1.06
2096	-4  	12  	9  	24.48 	2.79 	33.62 	-1.54
2097	-4  	12  	10  	14.55 	2.17 	23.84 	-1.92
2098	-4  	12  	11  	13.30 	5.57 	17.76 	-2.39
2099	-4  	13  	3  	32.11 	11.73 	15.50 	-1.36
2100	-4  	13  	4  	16.64 	2.77 	9.13 	2.92
2101	-4  	13  	5  	13.22 	6.15 	10.40 	0.12
2102	-4  	13  	6  	18.72 	3.38 	6.98 	1.94
2103	-4  	13  	7  	12.57 	6.13 	6.82 	1.76
2104	-4  	13  	10  	12.52 	4.89 	12.31 	-0.42
2105	-4  	13  	11  	13.13 	5.49 	12.05 	0.25
2106	-4  	14  	1  	33.03 	2.14 	15.63 	0.83
2107	-4  	14  	2  	26.23 	2.75 	10.72 	1.78
2108	-4  	14  	3  	95.86 	1.52 	86.93 	0.40
2109	-4  	14  	4  	57.39 	1.52 	23.52 	2.53
2110	-4  	14  	5  	27.27 	2.73 	27.73 	-1.42
2111	-4  	14  	6  	16.94 	4.84 	32.66 	1.67
2112	-4  	14  	7  	23.26 	3.32 	39.38 	0.67
2113	-4  	14  	8  	48.86 	1.51 	63.30 	-0.24
2114	-4  	14  	9  	12.35 	5.42 	20.38 	-1.48
2115	-4  	14  	10  	49.37 	2.11 	55.76 	-2.13
2116	-4  	15  	5  	14.02 	5.97 	25.50 	-1.36
2117	-4  	15  	7  	12.19 	5.35 	27.76 	0.49
2118	-4  	15  	8  	13.96 	4.75 	24.49 	0.57
2119	-4  	15  	9  	13.94 	5.34 	12.10 	-1.25
2120	-4  	16  	1  	31.39 	2.66 	29.88 	-1.03
2121	-4  	16  	2  	48.43 	0.59 	20.63 	-0.55
2122	-4  	16  	3  	41.83 	2.65 	47.84 	0.54
2123	-4  	16  	5  	19.07 	4.11 	15.01 	-2.16
2124	-4  	16  	7  	33.63 	2.05 	51.60 	-2.73
2125	-4  	16  	8  	21.02 	2.63 	46.74 	-2.31
2126	-4  	17  	1  	14.54 	5.24 	8.32 	-0.57
2127	-4  	17  	4  	17.04 	4.62 	5.89 	3.13
2128	-4  	18  	1  	24.55 	2.57 	31.73 	-2.98
2129	-4  	18  	2  	43.55 	2.56 	52.37 	1.18
2130	-4  	18  	4  	33.72 	1.42 	35.68 	3.05
