         h          k          l       FREE         FP      SIGFP      FCalc    PHICalc         h          k          l       FREE         FP      SIGFP      FCalc    PHICalc         h          k          l       FREE         FP      SIGFP      FCalc    PHICalc         h          k          l       FREE         FP      SIGFP      FCalc    PHICalc         h          k          l       FREE         FP      SIGFP      FCalc    PHICalc         h          k          l       FREE         FP      SIGFP      FCalc    PHICalc 	h 	k 	l 	FP 	SIGFP 	FCalc 	PHICalc 	
274	-17  	9  	14  	30.27 	2.52 	43.60 	0.47
275	-17  	10  	3  	16.24 	5.00 	12.85 	-2.60
276	-17  	10  	5  	15.87 	5.49 	13.28 	-2.48
277	-17  	10  	6  	16.89 	5.43 	13.31 	2.78
278	-17  	10  	8  	12.69 	5.31 	14.72 	1.29
279	-17  	11  	6  	42.35 	4.18 	44.30 	-0.94
280	-17  	11  	7  	42.47 	3.24 	37.71 	1.79
281	-17  	11  	8  	35.59 	2.04 	31.47 	3.02
282	-17  	11  	9  	22.80 	2.02 	15.69 	1.77
283	-17  	11  	10  	12.28 	5.14 	22.55 	1.44
284	-17  	11  	12  	12.59 	3.92 	24.97 	0.89
285	-17  	12  	7  	14.56 	5.83 	2.07 	0.62
286	-17  	12  	9  	16.81 	3.99 	15.63 	0.39
287	-17  	12  	10  	10.72 	4.51 	6.68 	-1.66
288	-16  	0  	6  	39.00 	2.88 	43.40 	0.00
289	-16  	0  	7  	82.57 	5.06 	66.36 	3.14
290	-16  	0  	8  	56.68 	5.01 	49.04 	3.14
291	-16  	0  	9  	37.82 	3.41 	58.72 	0.00
292	-16  	0  	10  	19.34 	6.14 	24.53 	3.14
293	-16  	0  	11  	18.55 	3.34 	15.72 	3.14
294	-16  	0  	12  	34.64 	0.60 	39.58 	0.00
295	-16  	1  	8  	29.73 	9.08 	28.59 	1.20
296	-16  	2  	2  	18.67 	8.33 	56.63 	1.81
297	-16  	2  	3  	105.48 	2.31 	94.74 	-0.66
298	-16  	2  	4  	82.15 	2.93 	69.76 	0.40
299	-16  	2  	6  	63.48 	4.47 	28.10 	2.86
300	-16  	2  	7  	71.66 	4.10 	37.40 	0.23
301	-16  	2  	8  	55.62 	2.81 	62.58 	-2.99
302	-16  	2  	9  	19.49 	2.78 	29.75 	-1.62
303	-16  	2  	10  	8.88 	3.37 	66.18 	0.59
304	-16  	2  	11  	113.47 	2.12 	127.61 	0.91
305	-16  	2  	12  	48.69 	3.31 	57.43 	1.69
306	-16  	2  	13  	14.00 	5.36 	34.93 	2.99
307	-16  	3  	3  	15.45 	7.56 	19.50 	2.88
308	-16  	3  	7  	17.00 	5.04 	24.27 	-2.96
309	-16  	3  	9  	11.72 	4.32 	11.80 	2.66
310	-16  	3  	11  	8.77 	4.24 	9.43 	1.41
311	-16  	3  	13  	6.83 	1.49 	25.54 	-0.90
312	-16  	4  	1  	27.81 	2.35 	32.73 	-1.03
313	-16  	4  	2  	35.11 	1.66 	40.09 	0.56
314	-16  	4  	3  	83.18 	5.24 	79.12 	2.13
315	-16  	4  	4  	23.32 	5.18 	26.62 	-1.21
316	-16  	4  	5  	46.77 	2.88 	30.14 	-0.81
317	-16  	4  	6  	22.19 	2.85 	33.57 	0.63
318	-16  	4  	7  	90.96 	1.57 	73.98 	-2.45
319	-16  	4  	8  	94.38 	1.55 	76.24 	2.58
320	-16  	4  	9  	53.17 	1.54 	77.19 	-0.67
321	-16  	4  	10  	80.04 	2.13 	94.01 	0.37
322	-16  	4  	11  	31.35 	0.60 	63.00 	0.40
323	-16  	4  	12  	37.63 	1.19 	46.53 	-1.21
324	-16  	4  	13  	63.91 	0.59 	76.51 	-2.19
325	-16  	5  	2  	20.11 	4.61 	21.86 	-0.27
326	-16  	5  	3  	16.29 	7.17 	25.19 	0.66
327	-16  	5  	5  	14.98 	4.46 	16.44 	-1.75
328	-16  	5  	6  	12.93 	5.05 	11.64 	-0.00
329	-16  	5  	7  	14.05 	6.24 	22.86 	1.32
330	-16  	5  	14  	6.71 	1.46 	1.59 	1.86
331	-16  	6  	1  	18.56 	4.64 	8.53 	0.53
332	-16  	6  	2  	34.73 	1.64 	26.06 	-1.14
333	-16  	6  	3  	25.59 	4.21 	37.24 	0.03
334	-16  	6  	4  	20.18 	4.16 	24.48 	-3.04
335	-16  	6  	5  	27.25 	1.58 	41.69 	0.87
336	-16  	6  	6  	40.13 	5.02 	34.04 	-0.38
337	-16  	6  	8  	57.43 	2.76 	32.56 	1.02
338	-16  	6  	9  	27.36 	1.52 	18.43 	2.55
339	-16  	6  	10  	15.66 	2.71 	29.89 	-0.89
340	-16  	6  	11  	70.37 	1.49 	58.18 	-0.22
341	-16  	6  	12  	39.88 	0.59 	52.64 	0.15
342	-16  	6  	13  	71.13 	0.59 	41.74 	1.34
343	-16  	6  	14  	11.02 	2.61 	36.65 	-2.47
344	-16  	7  	5  	14.79 	5.03 	23.36 	0.60
345	-16  	7  	7  	14.48 	4.93 	10.13 	-2.51
346	-16  	7  	8  	18.60 	3.35 	19.75 	0.89
347	-16  	7  	10  	10.76 	4.78 	0.34 	-2.01
348	-16  	7  	14  	7.78 	2.59 	6.79 	-2.72
349	-16  	7  	15  	6.57 	2.00 	5.21 	0.93
350	-16  	8  	1  	23.51 	4.57 	28.69 	-0.12
351	-16  	8  	2  	22.59 	3.55 	19.95 	1.04
352	-16  	8  	3  	21.70 	4.47 	32.91 	2.06
353	-16  	8  	4  	25.56 	3.47 	16.15 	0.21
354	-16  	8  	5  	40.89 	2.19 	44.70 	-1.03
355	-16  	8  	6  	25.63 	2.16 	34.93 	2.48
356	-16  	8  	7  	52.26 	2.14 	47.08 	2.66
357	-16  	8  	9  	45.82 	2.10 	49.79 	-2.92
358	-16  	8  	10  	51.30 	0.59 	44.67 	-2.16
359	-16  	8  	11  	39.65 	0.59 	30.71 	0.48
360	-16  	8  	12  	64.30 	1.45 	64.33 	1.95
361	-16  	8  	13  	46.71 	1.44 	35.02 	2.79
362	-16  	8  	14  	12.86 	1.43 	27.08 	2.78
363	-16  	9  	2  	20.15 	4.16 	8.11 	3.09
364	-16  	9  	6  	22.64 	4.28 	10.80 	-1.47
365	-16  	9  	7  	19.68 	3.33 	8.09 	0.63
366	-16  	9  	8  	13.49 	4.80 	23.03 	2.99
367	-16  	9  	10  	12.05 	5.29 	20.15 	-0.52
368	-16  	10  	2  	34.82 	3.48 	42.39 	-0.73
369	-16  	10  	3  	59.15 	5.01 	68.80 	0.61
370	-16  	10  	4  	38.38 	1.55 	29.23 	0.04
371	-16  	10  	5  	29.69 	2.14 	14.06 	-0.97
372	-16  	10  	6  	23.32 	2.12 	31.54 	-0.48
373	-16  	10  	7  	30.27 	3.30 	20.19 	0.34
374	-16  	10  	8  	41.53 	1.19 	34.13 	1.10
375	-16  	10  	9  	56.10 	2.06 	60.59 	2.64
376	-16  	10  	10  	56.42 	1.45 	66.86 	-3.12
377	-16  	10  	11  	25.92 	1.44 	27.60 	-2.12
378	-16  	10  	12  	25.68 	2.57 	7.94 	1.42
379	-16  	10  	13  	47.79 	1.98 	41.96 	1.92
380	-16  	11  	3  	13.92 	6.19 	28.41 	-2.77
381	-16  	11  	4  	18.05 	4.90 	13.75 	2.75
382	-16  	11  	5  	15.13 	4.84 	19.39 	-1.80
383	-16  	11  	9  	10.45 	5.23 	20.92 	-1.40
384	-16  	12  	4  	40.19 	5.44 	55.20 	0.75
385	-16  	12  	6  	21.29 	2.66 	5.75 	-1.94
386	-16  	12  	7  	22.54 	2.05 	21.21 	1.73
387	-16  	12  	8  	29.26 	2.03 	20.48 	-1.71
388	-16  	12  	9  	15.49 	3.15 	29.22 	-0.74
389	-16  	12  	10  	13.35 	2.56 	9.32 	-2.28
390	-16  	12  	11  	13.78 	3.94 	5.51 	2.95
391	-16  	13  	6  	15.76 	6.42 	24.18 	-0.20
392	-16  	13  	8  	14.86 	5.14 	3.18 	-0.62
393	-15  	0  	7  	20.03 	5.72 	18.30 	0.00
394	-15  	0  	10  	18.86 	4.95 	15.24 	3.14
395	-15  	1  	1  	108.81 	3.04 	76.42 	0.77
396	-15  	1  	2  	25.74 	5.35 	16.32 	3.12
397	-15  	1  	3  	30.43 	5.29 	37.38 	0.96
398	-15  	1  	4  	33.06 	4.58 	51.05 	-2.33
399	-15  	1  	5  	110.82 	3.56 	101.69 	1.25
400	-15  	1  	6  	103.63 	2.89 	87.27 	0.37
401	-15  	1  	7  	59.10 	2.54 	46.92 	0.59
402	-15  	1  	8  	43.75 	3.46 	68.87 	-2.71
403	-15  	1  	9  	33.05 	3.43 	54.40 	-0.28
404	-15  	1  	10  	41.71 	4.02 	74.49 	-1.34
405	-15  	1  	11  	81.16 	1.23 	59.09 	-2.63
406	-15  	1  	12  	32.79 	2.13 	51.23 	-2.12
407	-15  	2  	8  	27.65 	14.14 	29.39 	-2.31
408	-15  	2  	9  	14.01 	2.80 	20.58 	1.29
409	-15  	2  	10  	21.59 	8.95 	20.15 	-0.46
410	-15  	2  	12  	6.06 	2.12 	21.17 	-2.71
411	-15  	3  	1  	76.38 	3.03 	86.67 	-1.85
412	-15  	3  	2  	70.56 	3.00 	93.73 	2.97
413	-15  	3  	3  	64.55 	2.31 	40.58 	0.66
414	-15  	3  	4  	118.97 	3.91 	91.42 	0.18
415	-15  	3  	5  	98.41 	2.58 	104.46 	-0.10
416	-15  	3  	6  	73.15 	3.19 	81.57 	-2.87
417	-15  	3  	7  	64.85 	1.27 	59.46 	-2.05
